product_id,branch_id,opening_stock,reorder_level,safety_stock,max_stock,current_stock,warehouse_bin,product_name,category,machine_type,brand,model_compatibility,unit_cost,unit_price,margin_percentage,gst_rate,weight_kg,dimensions_cm,material_type,warranty_months,reorder_level_product,safety_stock_product,max_stock_level,lead_time_days,criticality_level,usage_frequency,uom,last_purchase_price,last_purchase_date,branch_name,city,state,region,warehouse_type,warehouse_capacity,service_center_available,manager_id,total_employees,avg_monthly_revenue,monthly_operational_cost,market_demand_index,inventory_value,stock_status
P005,KOL001,215,83,43,357,104202,B19,Fuel Injector FI-220,Engine,Excavator,Tata Hitachi,Tata Hitachi EX 200,6350,8450,33.0,28,1.2,20x12x12,alloy,12,30,15,80,18,High,Medium,piece,6200,05/11/2020,Kolkata East Depot,Kolkata,West Bengal,East,Branch,29880 sqft,No,5981,49,2894770,1743000,6,661682700,Overstock
P005,AHM001,106,37,29,175,108136,B06,Fuel Injector FI-220,Engine,Excavator,Tata Hitachi,Tata Hitachi EX 200,6350,8450,33.0,28,1.2,20x12x12,alloy,12,30,15,80,18,High,Medium,piece,6200,05/11/2020,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,34120 sqft,Yes,4772,63,3245890,2018000,7,686663600,Overstock
P006,DEL001,131,43,26,234,99358,B09,Alternator ALT-500,Electrical,Loader,CAT,CAT 950H,8650,11200,29.5,28,9.5,30x20x20,alloy,12,12,6,30,20,High,Medium,piece,8400,14/02/2021,Delhi Central,Delhi,Delhi,North,Central,45230 sqft,Yes,9593,92,5234890,3189000,9,859446700,Overstock
P006,PUN001,210,69,43,356,111016,F02,Alternator ALT-500,Electrical,Loader,CAT,CAT 950H,8650,11200,29.5,28,9.5,30x20x20,alloy,12,12,6,30,20,High,Medium,piece,8400,14/02/2021,Pune Distribution,Pune,Maharashtra,West,Regional,38750 sqft,Yes,6114,74,4389120,2654000,8,960288400,Overstock
P006,CHN001,119,41,31,181,110681,D03,Alternator ALT-500,Electrical,Loader,CAT,CAT 950H,8650,11200,29.5,28,9.5,30x20x20,alloy,12,12,6,30,20,High,Medium,piece,8400,14/02/2021,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,41890 sqft,Yes,7922,81,4567780,2739000,8,957390650,Overstock
P006,HYD001,275,84,62,472,109564,F19,Alternator ALT-500,Electrical,Loader,CAT,CAT 950H,8650,11200,29.5,28,9.5,30x20x20,alloy,12,12,6,30,20,High,Medium,piece,8400,14/02/2021,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,36210 sqft,No,4390,57,3102455,1887000,7,947728600,Overstock
P006,KOL001,105,33,28,181,109176,B13,Alternator ALT-500,Electrical,Loader,CAT,CAT 950H,8650,11200,29.5,28,9.5,30x20x20,alloy,12,12,6,30,20,High,Medium,piece,8400,14/02/2021,Kolkata East Depot,Kolkata,West Bengal,East,Branch,29880 sqft,No,5981,49,2894770,1743000,6,944372400,Overstock
P006,AHM001,170,62,43,291,107359,A01,Alternator ALT-500,Electrical,Loader,CAT,CAT 950H,8650,11200,29.5,28,9.5,30x20x20,alloy,12,12,6,30,20,High,Medium,piece,8400,14/02/2021,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,34120 sqft,Yes,4772,63,3245890,2018000,7,928655350,Overstock
P007,DEL001,205,79,59,383,119439,C04,Hydraulic Hose HH-60,Hydraulic,Crane,JCB,JCB 160,980,1450,48.0,18,1.1,90x4x4,rubber,6,70,35,200,10,Medium,High,piece,950,27/05/2021,Delhi Central,Delhi,Delhi,North,Central,45230 sqft,Yes,9593,92,5234890,3189000,9,117050220,Overstock
P007,PUN001,231,72,58,459,110464,C08,Hydraulic Hose HH-60,Hydraulic,Crane,JCB,JCB 160,980,1450,48.0,18,1.1,90x4x4,rubber,6,70,35,200,10,Medium,High,piece,950,27/05/2021,Pune Distribution,Pune,Maharashtra,West,Regional,38750 sqft,Yes,6114,74,4389120,2654000,8,108254720,Overstock
P007,CHN001,230,77,46,434,108692,E17,Hydraulic Hose HH-60,Hydraulic,Crane,JCB,JCB 160,980,1450,48.0,18,1.1,90x4x4,rubber,6,70,35,200,10,Medium,High,piece,950,27/05/2021,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,41890 sqft,Yes,7922,81,4567780,2739000,8,106518160,Overstock
P007,HYD001,298,93,61,548,112543,C16,Hydraulic Hose HH-60,Hydraulic,Crane,JCB,JCB 160,980,1450,48.0,18,1.1,90x4x4,rubber,6,70,35,200,10,Medium,High,piece,950,27/05/2021,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,36210 sqft,No,4390,57,3102455,1887000,7,110292140,Overstock
P007,KOL001,273,93,62,438,99463,C03,Hydraulic Hose HH-60,Hydraulic,Crane,JCB,JCB 160,980,1450,48.0,18,1.1,90x4x4,rubber,6,70,35,200,10,Medium,High,piece,950,27/05/2021,Kolkata East Depot,Kolkata,West Bengal,East,Branch,29880 sqft,No,5981,49,2894770,1743000,6,97473740,Overstock
P007,AHM001,146,50,38,267,106222,C13,Hydraulic Hose HH-60,Hydraulic,Crane,JCB,JCB 160,980,1450,48.0,18,1.1,90x4x4,rubber,6,70,35,200,10,Medium,High,piece,950,27/05/2021,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,34120 sqft,Yes,4772,63,3245890,2018000,7,104097560,Overstock
P008,DEL001,298,116,69,572,106667,C16,Bucket Tooth BT-10,Attachments,Excavator,Komatsu,Komatsu PC130,340,580,70.6,18,0.3,12x6x4,steel,6,120,60,300,12,Low,High,piece,320,09/08/2021,Delhi Central,Delhi,Delhi,North,Central,45230 sqft,Yes,9593,92,5234890,3189000,9,36266780,Overstock
P008,PUN001,86,33,17,147,99151,D12,Bucket Tooth BT-10,Attachments,Excavator,Komatsu,Komatsu PC130,340,580,70.6,18,0.3,12x6x4,steel,6,120,60,300,12,Low,High,piece,320,09/08/2021,Pune Distribution,Pune,Maharashtra,West,Regional,38750 sqft,Yes,6114,74,4389120,2654000,8,33711340,Overstock
P008,CHN001,265,104,75,477,108381,A08,Bucket Tooth BT-10,Attachments,Excavator,Komatsu,Komatsu PC130,340,580,70.6,18,0.3,12x6x4,steel,6,120,60,300,12,Low,High,piece,320,09/08/2021,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,41890 sqft,Yes,7922,81,4567780,2739000,8,36849540,Overstock
P008,HYD001,270,93,75,467,101753,A08,Bucket Tooth BT-10,Attachments,Excavator,Komatsu,Komatsu PC130,340,580,70.6,18,0.3,12x6x4,steel,6,120,60,300,12,Low,High,piece,320,09/08/2021,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,36210 sqft,No,4390,57,3102455,1887000,7,34596020,Overstock
P008,KOL001,135,43,30,262,99461,D04,Bucket Tooth BT-10,Attachments,Excavator,Komatsu,Komatsu PC130,340,580,70.6,18,0.3,12x6x4,steel,6,120,60,300,12,Low,High,piece,320,09/08/2021,Kolkata East Depot,Kolkata,West Bengal,East,Branch,29880 sqft,No,5981,49,2894770,1743000,6,33816740,Overstock
P008,AHM001,259,85,57,430,109281,D10,Bucket Tooth BT-10,Attachments,Excavator,Komatsu,Komatsu PC130,340,580,70.6,18,0.3,12x6x4,steel,6,120,60,300,12,Low,High,piece,320,09/08/2021,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,34120 sqft,Yes,4772,63,3245890,2018000,7,37155540,Overstock
P009,DEL001,147,57,32,261,102816,D10,Starter Motor SM-700,Electrical,Dumper,Volvo,Volvo A40,11450,14900,30.1,28,11.0,32x18x18,alloy,12,10,5,25,22,High,Medium,piece,11000,30/11/2021,Delhi Central,Delhi,Delhi,North,Central,45230 sqft,Yes,9593,92,5234890,3189000,9,1177243200,Overstock
P009,PUN001,186,56,37,345,111320,F09,Starter Motor SM-700,Electrical,Dumper,Volvo,Volvo A40,11450,14900,30.1,28,11.0,32x18x18,alloy,12,10,5,25,22,High,Medium,piece,11000,30/11/2021,Pune Distribution,Pune,Maharashtra,West,Regional,38750 sqft,Yes,6114,74,4389120,2654000,8,1274614000,Overstock
P009,CHN001,226,89,53,387,111456,D11,Starter Motor SM-700,Electrical,Dumper,Volvo,Volvo A40,11450,14900,30.1,28,11.0,32x18x18,alloy,12,10,5,25,22,High,Medium,piece,11000,30/11/2021,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,41890 sqft,Yes,7922,81,4567780,2739000,8,1276171200,Overstock
P009,HYD001,282,101,82,436,100071,D03,Starter Motor SM-700,Electrical,Dumper,Volvo,Volvo A40,11450,14900,30.1,28,11.0,32x18x18,alloy,12,10,5,25,22,High,Medium,piece,11000,30/11/2021,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,36210 sqft,No,4390,57,3102455,1887000,7,1145812950,Overstock
P009,KOL001,104,35,25,201,110547,E10,Starter Motor SM-700,Electrical,Dumper,Volvo,Volvo A40,11450,14900,30.1,28,11.0,32x18x18,alloy,12,10,5,25,22,High,Medium,piece,11000,30/11/2021,Kolkata East Depot,Kolkata,West Bengal,East,Branch,29880 sqft,No,5981,49,2894770,1743000,6,1265763150,Overstock
P009,AHM001,183,61,44,333,95731,B15,Starter Motor SM-700,Electrical,Dumper,Volvo,Volvo A40,11450,14900,30.1,28,11.0,32x18x18,alloy,12,10,5,25,22,High,Medium,piece,11000,30/11/2021,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,34120 sqft,Yes,4772,63,3245890,2018000,7,1096119950,Overstock
P010,DEL001,133,43,37,220,106895,D11,Turbocharger TB-900,Engine,Excavator,CAT,CAT 336D,28900,34900,20.8,28,16.5,40x25x25,alloy,18,6,3,15,28,High,Medium,piece,28000,12/03/2022,Delhi Central,Delhi,Delhi,North,Central,45230 sqft,Yes,9593,92,5234890,3189000,9,3089265500,Overstock
P010,PUN001,159,48,45,267,114565,D20,Turbocharger TB-900,Engine,Excavator,CAT,CAT 336D,28900,34900,20.8,28,16.5,40x25x25,alloy,18,6,3,15,28,High,Medium,piece,28000,12/03/2022,Pune Distribution,Pune,Maharashtra,West,Regional,38750 sqft,Yes,6114,74,4389120,2654000,8,3310928500,Overstock
P010,CHN001,120,44,29,191,113425,B09,Turbocharger TB-900,Engine,Excavator,CAT,CAT 336D,28900,34900,20.8,28,16.5,40x25x25,alloy,18,6,3,15,28,High,Medium,piece,28000,12/03/2022,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,41890 sqft,Yes,7922,81,4567780,2739000,8,3277982500,Overstock
P010,HYD001,171,62,46,307,110225,F12,Turbocharger TB-900,Engine,Excavator,CAT,CAT 336D,28900,34900,20.8,28,16.5,40x25x25,alloy,18,6,3,15,28,High,Medium,piece,28000,12/03/2022,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,36210 sqft,No,4390,57,3102455,1887000,7,3185502500,Overstock
P010,KOL001,179,61,46,294,100989,A13,Turbocharger TB-900,Engine,Excavator,CAT,CAT 336D,28900,34900,20.8,28,16.5,40x25x25,alloy,18,6,3,15,28,High,Medium,piece,28000,12/03/2022,Kolkata East Depot,Kolkata,West Bengal,East,Branch,29880 sqft,No,5981,49,2894770,1743000,6,2918582100,Overstock
P010,AHM001,128,43,27,245,115149,C09,Turbocharger TB-900,Engine,Excavator,CAT,CAT 336D,28900,34900,20.8,28,16.5,40x25x25,alloy,18,6,3,15,28,High,Medium,piece,28000,12/03/2022,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,34120 sqft,Yes,4772,63,3245890,2018000,7,3327806100,Overstock
P011,DEL001,243,85,64,369,112300,B01,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,Tata Hitachi EX 210,21500,27600,28.4,28,42.0,120x18x18,steel,12,10,5,25,24,High,Medium,piece,21000,25/06/2022,Delhi Central,Delhi,Delhi,North,Central,45230 sqft,Yes,9593,92,5234890,3189000,9,2414450000,Overstock
P011,PUN001,86,31,20,138,108691,F06,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,Tata Hitachi EX 210,21500,27600,28.4,28,42.0,120x18x18,steel,12,10,5,25,24,High,Medium,piece,21000,25/06/2022,Pune Distribution,Pune,Maharashtra,West,Regional,38750 sqft,Yes,6114,74,4389120,2654000,8,2336856500,Overstock
P011,CHN001,155,50,32,233,110667,E15,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,Tata Hitachi EX 210,21500,27600,28.4,28,42.0,120x18x18,steel,12,10,5,25,24,High,Medium,piece,21000,25/06/2022,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,41890 sqft,Yes,7922,81,4567780,2739000,8,2379340500,Overstock
P011,HYD001,148,46,41,244,107771,B01,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,Tata Hitachi EX 210,21500,27600,28.4,28,42.0,120x18x18,steel,12,10,5,25,24,High,Medium,piece,21000,25/06/2022,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,36210 sqft,No,4390,57,3102455,1887000,7,2317076500,Overstock
P011,KOL001,300,113,68,582,109669,B08,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,Tata Hitachi EX 210,21500,27600,28.4,28,42.0,120x18x18,steel,12,10,5,25,24,High,Medium,piece,21000,25/06/2022,Kolkata East Depot,Kolkata,West Bengal,East,Branch,29880 sqft,No,5981,49,2894770,1743000,6,2357883500,Overstock
P011,AHM001,211,66,50,410,101291,D13,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,Tata Hitachi EX 210,21500,27600,28.4,28,42.0,120x18x18,steel,12,10,5,25,24,High,Medium,piece,21000,25/06/2022,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,34120 sqft,Yes,4772,63,3245890,2018000,7,2177756500,Overstock
P012,DEL001,257,98,67,489,119923,D13,Brake Pad BP-40,Brakes,Loader,JCB,JCB 430ZX,1800,2450,36.1,28,3.2,20x12x10,composite,6,40,20,120,10,Medium,Medium,set,1750,08/09/2022,Delhi Central,Delhi,Delhi,North,Central,45230 sqft,Yes,9593,92,5234890,3189000,9,215861400,Overstock
P012,PUN001,177,68,52,308,112603,B05,Brake Pad BP-40,Brakes,Loader,JCB,JCB 430ZX,1800,2450,36.1,28,3.2,20x12x10,composite,6,40,20,120,10,Medium,Medium,set,1750,08/09/2022,Pune Distribution,Pune,Maharashtra,West,Regional,38750 sqft,Yes,6114,74,4389120,2654000,8,202685400,Overstock
P012,CHN001,155,54,32,274,107886,A16,Brake Pad BP-40,Brakes,Loader,JCB,JCB 430ZX,1800,2450,36.1,28,3.2,20x12x10,composite,6,40,20,120,10,Medium,Medium,set,1750,08/09/2022,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,41890 sqft,Yes,7922,81,4567780,2739000,8,194194800,Overstock
P012,HYD001,128,42,28,241,106209,F04,Brake Pad BP-40,Brakes,Loader,JCB,JCB 430ZX,1800,2450,36.1,28,3.2,20x12x10,composite,6,40,20,120,10,Medium,Medium,set,1750,08/09/2022,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,36210 sqft,No,4390,57,3102455,1887000,7,191176200,Overstock
P012,KOL001,188,67,51,368,109625,F17,Brake Pad BP-40,Brakes,Loader,JCB,JCB 430ZX,1800,2450,36.1,28,3.2,20x12x10,composite,6,40,20,120,10,Medium,Medium,set,1750,08/09/2022,Kolkata East Depot,Kolkata,West Bengal,East,Branch,29880 sqft,No,5981,49,2894770,1743000,6,197325000,Overstock
P012,AHM001,103,32,24,156,106861,F11,Brake Pad BP-40,Brakes,Loader,JCB,JCB 430ZX,1800,2450,36.1,28,3.2,20x12x10,composite,6,40,20,120,10,Medium,Medium,set,1750,08/09/2022,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,34120 sqft,Yes,4772,63,3245890,2018000,7,192349800,Overstock
P013,DEL001,126,48,27,249,108520,E18,Seal Kit SK-15,Seals,Excavator,CAT,CAT 320D,950,1450,52.6,18,0.6,15x10x6,rubber,6,80,40,200,9,Medium,High,set,920,19/12/2022,Delhi Central,Delhi,Delhi,North,Central,45230 sqft,Yes,9593,92,5234890,3189000,9,103094000,Overstock
P013,PUN001,80,25,16,133,104221,F04,Seal Kit SK-15,Seals,Excavator,CAT,CAT 320D,950,1450,52.6,18,0.6,15x10x6,rubber,6,80,40,200,9,Medium,High,set,920,19/12/2022,Pune Distribution,Pune,Maharashtra,West,Regional,38750 sqft,Yes,6114,74,4389120,2654000,8,99009950,Overstock
P013,CHN001,156,56,45,307,106476,D08,Seal Kit SK-15,Seals,Excavator,CAT,CAT 320D,950,1450,52.6,18,0.6,15x10x6,rubber,6,80,40,200,9,Medium,High,set,920,19/12/2022,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,41890 sqft,Yes,7922,81,4567780,2739000,8,101152200,Overstock
P013,HYD001,233,86,52,412,111295,D06,Seal Kit SK-15,Seals,Excavator,CAT,CAT 320D,950,1450,52.6,18,0.6,15x10x6,rubber,6,80,40,200,9,Medium,High,set,920,19/12/2022,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,36210 sqft,No,4390,57,3102455,1887000,7,105730250,Overstock
P013,KOL001,129,44,26,233,105381,F03,Seal Kit SK-15,Seals,Excavator,CAT,CAT 320D,950,1450,52.6,18,0.6,15x10x6,rubber,6,80,40,200,9,Medium,High,set,920,19/12/2022,Kolkata East Depot,Kolkata,West Bengal,East,Branch,29880 sqft,No,5981,49,2894770,1743000,6,100111950,Overstock
