product_id,branch_id,last_movement_date,total_movements,total_movement_quantity,days_since_last_movement,aging_category,current_stock,reorder_level,safety_stock,max_stock,product_name,category,criticality_level,unit_cost,inventory_value,aging_risk
P003,KOL001,2025-01-28,1433,125059,0,0-30 Days,110093,80,52,386,Air Filter AF-120,Filters,Medium,820,90276260,Normal
P003,PUN001,2025-01-08,1265,128917,20,0-30 Days,118139,72,44,359,Air Filter AF-120,Filters,Medium,820,96873980,Normal
P004,AHM001,2025-01-12,1325,113264,16,0-30 Days,99909,104,77,430,Track Chain TC-45,Undercarriage,High,32500,3247042500,Normal
P004,CHN001,2025-01-22,1424,119005,6,0-30 Days,103984,58,41,339,Track Chain TC-45,Undercarriage,High,32500,3379480000,Normal
P004,DEL001,2025-01-23,1237,121341,5,0-30 Days,110145,57,35,267,Track Chain TC-45,Undercarriage,High,32500,3579712500,Normal
P004,HYD001,2025-01-27,1174,119880,1,0-30 Days,109943,62,49,363,Track Chain TC-45,Undercarriage,High,32500,3573147500,Normal
P004,KOL001,2025-01-14,1391,124409,14,0-30 Days,110042,44,33,187,Track Chain TC-45,Undercarriage,High,32500,3576365000,Normal
P004,PUN001,2025-01-18,1242,116753,10,0-30 Days,104859,55,37,265,Track Chain TC-45,Undercarriage,High,32500,3407917500,Normal
P005,AHM001,2025-01-19,1354,121394,9,0-30 Days,108136,37,29,175,Fuel Injector FI-220,Engine,High,6350,686663600,Normal
P005,CHN001,2025-01-22,1532,129943,6,0-30 Days,114267,68,40,336,Fuel Injector FI-220,Engine,High,6350,725595450,Normal
P005,DEL001,2025-01-12,1257,122526,16,0-30 Days,110862,94,63,463,Fuel Injector FI-220,Engine,High,6350,703973700,Normal
P005,HYD001,2025-01-27,1262,123923,1,0-30 Days,112865,62,51,341,Fuel Injector FI-220,Engine,High,6350,716692750,Normal
P005,KOL001,2025-01-28,1349,117669,0,0-30 Days,104202,83,43,357,Fuel Injector FI-220,Engine,High,6350,661682700,Normal
P005,PUN001,2025-01-18,1240,118822,10,0-30 Days,108488,89,76,436,Fuel Injector FI-220,Engine,High,6350,688898800,Normal
P006,AHM001,2025-01-10,1319,119409,18,0-30 Days,107359,62,43,291,Alternator ALT-500,Electrical,High,8650,928655350,Normal
P006,CHN001,2025-01-20,1516,126620,8,0-30 Days,110681,41,31,181,Alternator ALT-500,Electrical,High,8650,957390650,Normal
P006,DEL001,2025-01-20,1202,111265,8,0-30 Days,99358,43,26,234,Alternator ALT-500,Electrical,High,8650,859446700,Normal
P006,HYD001,2025-01-14,1250,120795,14,0-30 Days,109564,84,62,472,Alternator ALT-500,Electrical,High,8650,947728600,Normal
P006,KOL001,2025-01-11,1443,123965,17,0-30 Days,109176,33,28,181,Alternator ALT-500,Electrical,High,8650,944372400,Normal
P006,PUN001,2025-01-13,1253,121866,15,0-30 Days,111016,69,43,356,Alternator ALT-500,Electrical,High,8650,960288400,Normal
P007,AHM001,2025-01-18,1335,119594,10,0-30 Days,106222,50,38,267,Hydraulic Hose HH-60,Hydraulic,Medium,980,104097560,Normal
P007,CHN001,2025-01-17,1503,124658,11,0-30 Days,108692,77,46,434,Hydraulic Hose HH-60,Hydraulic,Medium,980,106518160,Normal
P007,DEL001,2025-01-19,1300,130834,9,0-30 Days,119439,79,59,383,Hydraulic Hose HH-60,Hydraulic,Medium,980,117050220,Normal
P007,HYD001,2025-01-19,1253,122899,9,0-30 Days,112543,93,61,548,Hydraulic Hose HH-60,Hydraulic,Medium,980,110292140,Normal
P007,KOL001,2025-01-15,1344,113474,13,0-30 Days,99463,93,62,438,Hydraulic Hose HH-60,Hydraulic,Medium,980,97473740,Normal
P007,PUN001,2025-01-17,1266,122271,11,0-30 Days,110464,72,58,459,Hydraulic Hose HH-60,Hydraulic,Medium,980,108254720,Normal
P008,AHM001,2025-01-24,1350,122670,4,0-30 Days,109281,85,57,430,Bucket Tooth BT-10,Attachments,Low,340,37155540,Normal
P008,CHN001,2025-01-22,1486,124110,6,0-30 Days,108381,104,75,477,Bucket Tooth BT-10,Attachments,Low,340,36849540,Normal
P008,DEL001,2025-01-14,1275,118319,14,0-30 Days,106667,116,69,572,Bucket Tooth BT-10,Attachments,Low,340,36266780,Normal
P008,HYD001,2025-01-20,1185,112247,8,0-30 Days,101753,93,75,467,Bucket Tooth BT-10,Attachments,Low,340,34596020,Normal
P008,KOL001,2025-01-18,1350,113196,10,0-30 Days,99461,43,30,262,Bucket Tooth BT-10,Attachments,Low,340,33816740,Normal
P008,PUN001,2025-01-14,1179,109511,14,0-30 Days,99151,33,17,147,Bucket Tooth BT-10,Attachments,Low,340,33711340,Normal
P009,AHM001,2025-01-16,1275,109118,12,0-30 Days,95731,61,44,333,Starter Motor SM-700,Electrical,High,11450,1096119950,Normal
P009,CHN001,2025-01-21,1488,127540,7,0-30 Days,111456,89,53,387,Starter Motor SM-700,Electrical,High,11450,1276171200,Normal
P009,DEL001,2025-01-19,1177,113329,9,0-30 Days,102816,57,32,261,Starter Motor SM-700,Electrical,High,11450,1177243200,Normal
P009,HYD001,2025-01-27,1183,110749,1,0-30 Days,100071,101,82,436,Starter Motor SM-700,Electrical,High,11450,1145812950,Normal
P009,KOL001,2025-01-28,1394,124185,0,0-30 Days,110547,35,25,201,Starter Motor SM-700,Electrical,High,11450,1265763150,Normal
P009,PUN001,2025-01-18,1263,122302,10,0-30 Days,111320,56,37,345,Starter Motor SM-700,Electrical,High,11450,1274614000,Normal
P010,AHM001,2025-01-24,1400,129071,4,0-30 Days,115149,43,27,245,Turbocharger TB-900,Engine,High,28900,3327806100,Normal
P010,CHN001,2025-01-22,1484,128905,6,0-30 Days,113425,44,29,191,Turbocharger TB-900,Engine,High,28900,3277982500,Normal
P010,DEL001,2025-01-15,1259,118486,13,0-30 Days,106895,43,37,220,Turbocharger TB-900,Engine,High,28900,3089265500,Normal
P010,HYD001,2025-01-19,1219,121000,9,0-30 Days,110225,62,46,307,Turbocharger TB-900,Engine,High,28900,3185502500,Normal
P010,KOL001,2025-01-28,1432,116774,0,0-30 Days,100989,61,46,294,Turbocharger TB-900,Engine,High,28900,2918582100,Normal
P010,PUN001,2025-01-18,1278,125826,10,0-30 Days,114565,48,45,267,Turbocharger TB-900,Engine,High,28900,3310928500,Normal
P011,AHM001,2025-01-28,1319,114542,0,0-30 Days,101291,66,50,410,Hydraulic Cylinder HC-200,Hydraulic,High,21500,2177756500,Normal
P011,CHN001,2025-01-27,1463,126212,1,0-30 Days,110667,50,32,233,Hydraulic Cylinder HC-200,Hydraulic,High,21500,2379340500,Normal
P011,DEL001,2025-01-15,1302,124209,13,0-30 Days,112300,85,64,369,Hydraulic Cylinder HC-200,Hydraulic,High,21500,2414450000,Normal
P011,HYD001,2025-01-12,1248,118207,16,0-30 Days,107771,46,41,244,Hydraulic Cylinder HC-200,Hydraulic,High,21500,2317076500,Normal
P011,KOL001,2025-01-17,1450,124863,11,0-30 Days,109669,113,68,582,Hydraulic Cylinder HC-200,Hydraulic,High,21500,2357883500,Normal
P011,PUN001,2025-01-14,1299,121011,14,0-30 Days,108691,31,20,138,Hydraulic Cylinder HC-200,Hydraulic,High,21500,2336856500,Normal
P012,AHM001,2025-01-27,1391,120954,1,0-30 Days,106861,32,24,156,Brake Pad BP-40,Brakes,Medium,1800,192349800,Normal
P012,CHN001,2025-01-22,1424,122779,6,0-30 Days,107886,54,32,274,Brake Pad BP-40,Brakes,Medium,1800,194194800,Normal
P012,DEL001,2025-01-17,1337,131994,11,0-30 Days,119923,98,67,489,Brake Pad BP-40,Brakes,Medium,1800,215861400,Normal
P012,HYD001,2025-01-14,1243,117315,14,0-30 Days,106209,42,28,241,Brake Pad BP-40,Brakes,Medium,1800,191176200,Normal
P012,KOL001,2025-01-28,1372,123257,0,0-30 Days,109625,67,51,368,Brake Pad BP-40,Brakes,Medium,1800,197325000,Normal
P012,PUN001,2025-01-18,1315,124058,10,0-30 Days,112603,68,52,308,Brake Pad BP-40,Brakes,Medium,1800,202685400,Normal
P013,AHM001,2025-01-27,1322,112273,1,0-30 Days,98687,25,22,150,Seal Kit SK-15,Seals,Medium,950,93752650,Normal
P013,CHN001,2025-01-19,1448,121822,9,0-30 Days,106476,56,45,307,Seal Kit SK-15,Seals,Medium,950,101152200,Normal
P013,DEL001,2025-01-12,1226,119252,16,0-30 Days,108520,48,27,249,Seal Kit SK-15,Seals,Medium,950,103094000,Normal
P013,HYD001,2025-01-27,1229,121390,1,0-30 Days,111295,86,52,412,Seal Kit SK-15,Seals,Medium,950,105730250,Normal
P013,KOL001,2025-01-15,1382,120096,13,0-30 Days,105381,44,26,233,Seal Kit SK-15,Seals,Medium,950,100111950,Normal
P013,PUN001,2025-01-18,1216,115357,10,0-30 Days,104221,25,16,133,Seal Kit SK-15,Seals,Medium,950,99009950,Normal
P014,AHM001,2025-01-24,1316,118135,4,0-30 Days,105345,32,27,171,Transmission Assembly TA-800,Transmission,High,68500,7216132500,Normal
P014,CHN001,2025-01-22,1519,130219,6,0-30 Days,114302,60,40,303,Transmission Assembly TA-800,Transmission,High,68500,7829687000,Normal
P014,DEL001,2025-01-12,1293,123120,16,0-30 Days,111321,72,44,384,Transmission Assembly TA-800,Transmission,High,68500,7625488500,Normal
P014,HYD001,2025-01-15,1209,121241,13,0-30 Days,111315,71,50,377,Transmission Assembly TA-800,Transmission,High,68500,7625077500,Normal
P014,KOL001,2025-01-10,1373,119302,18,0-30 Days,105994,106,60,519,Transmission Assembly TA-800,Transmission,High,68500,7260589000,Normal
P014,PUN001,2025-01-13,1291,124749,15,0-30 Days,113386,33,20,164,Transmission Assembly TA-800,Transmission,High,68500,7766941000,Normal
P015,AHM001,2025-01-14,1356,118622,14,0-30 Days,105135,28,24,131,Engine Block EB-600,Engine,High,95500,10040392500,Normal
P015,CHN001,2025-01-21,1490,129262,7,0-30 Days,113851,91,57,370,Engine Block EB-600,Engine,High,95500,10872770500,Normal
P015,DEL001,2025-01-16,1234,112720,12,0-30 Days,100967,75,60,387,Engine Block EB-600,Engine,High,95500,9642348500,Normal
P015,HYD001,2025-01-20,1185,119966,8,0-30 Days,110035,56,43,226,Engine Block EB-600,Engine,High,95500,10508342500,Normal
P015,KOL001,2025-01-16,1327,110815,12,0-30 Days,96547,116,81,508,Engine Block EB-600,Engine,High,95500,9220238500,Normal
P015,PUN001,2025-01-18,1215,117126,10,0-30 Days,106048,43,34,210,Engine Block EB-600,Engine,High,95500,10127584000,Normal
P016,AHM001,2025-01-16,1370,124642,12,0-30 Days,110893,33,25,164,Radiator RD-250,Cooling,Medium,7800,864965400,Normal
P016,CHN001,2025-01-22,1487,127321,6,0-30 Days,112003,71,45,309,Radiator RD-250,Cooling,Medium,7800,873623400,Normal
P016,DEL001,2025-01-20,1292,116455,8,0-30 Days,104189,84,66,434,Radiator RD-250,Cooling,Medium,7800,812674200,Normal
P016,HYD001,2025-01-19,1185,116205,9,0-30 Days,106040,35,24,177,Radiator RD-250,Cooling,Medium,7800,827112000,Normal
P016,KOL001,2025-01-18,1338,111773,10,0-30 Days,97829,49,32,277,Radiator RD-250,Cooling,Medium,7800,763066200,Normal
P016,PUN001,2025-01-13,1287,114681,15,0-30 Days,103006,74,47,371,Radiator RD-250,Cooling,Medium,7800,803446800,Normal
P017,AHM001,2025-01-24,1373,122451,4,0-30 Days,109921,99,82,542,Fan Belt FB-30,Belts,Medium,320,35174720,Normal
P017,CHN001,2025-01-21,1462,122442,7,0-30 Days,106266,59,45,300,Fan Belt FB-30,Belts,Medium,320,34005120,Normal
P017,DEL001,2025-01-12,1284,123798,16,0-30 Days,112971,93,72,479,Fan Belt FB-30,Belts,Medium,320,36150720,Normal
P017,HYD001,2025-01-27,1247,127180,1,0-30 Days,117058,26,23,172,Fan Belt FB-30,Belts,Medium,320,37458560,Normal
P017,KOL001,2025-01-28,1386,122019,0,0-30 Days,108003,72,56,344,Fan Belt FB-30,Belts,Medium,320,34560960,Normal
P017,PUN001,2025-01-14,1271,116457,14,0-30 Days,104847,63,56,331,Fan Belt FB-30,Belts,Medium,320,33551040,Normal
P018,AHM001,2025-01-27,1288,113754,1,0-30 Days,101420,89,64,438,Wheel Rim WR-24,Undercarriage,High,8200,831644000,Normal
P018,CHN001,2025-01-14,1503,129439,14,0-30 Days,113318,98,74,564,Wheel Rim WR-24,Undercarriage,High,8200,929207600,Normal
P018,DEL001,2025-01-16,1278,125241,12,0-30 Days,114627,106,74,508,Wheel Rim WR-24,Undercarriage,High,8200,939941400,Normal
P018,HYD001,2025-01-19,1229,122801,9,0-30 Days,112953,78,58,322,Wheel Rim WR-24,Undercarriage,High,8200,926214600,Normal
P018,KOL001,2025-01-14,1342,111020,14,0-30 Days,96607,59,42,284,Wheel Rim WR-24,Undercarriage,High,8200,792177400,Normal
P018,PUN001,2025-01-18,1271,121947,10,0-30 Days,111530,55,41,293,Wheel Rim WR-24,Undercarriage,High,8200,914546000,Normal
P019,AHM001,2025-01-11,1364,118554,17,0-30 Days,105387,85,46,378,Swing Motor SWM-350,Hydraulic,High,31200,3288074400,Normal
P019,CHN001,2025-01-22,1427,115542,6,0-30 Days,100413,86,66,566,Swing Motor SWM-350,Hydraulic,High,31200,3132885600,Normal
P019,DEL001,2025-01-23,1347,131139,5,0-30 Days,118200,37,27,208,Swing Motor SWM-350,Hydraulic,High,31200,3687840000,Normal
P019,HYD001,2025-01-19,1127,110159,9,0-30 Days,100008,81,49,350,Swing Motor SWM-350,Hydraulic,High,31200,3120249600,Normal
P019,KOL001,2025-01-17,1313,103193,11,0-30 Days,88853,30,22,141,Swing Motor SWM-350,Hydraulic,High,31200,2772213600,Normal
P019,PUN001,2025-01-18,1242,119972,10,0-30 Days,109388,36,27,207,Swing Motor SWM-350,Hydraulic,High,31200,3412905600,Normal
P020,AHM001,2025-01-27,1282,115688,1,0-30 Days,102706,54,28,270,Pivot Pin PP-12,Pins & Bushes,Medium,750,77029500,Normal
P020,CHN001,2025-01-20,1468,127902,8,0-30 Days,113260,105,84,454,Pivot Pin PP-12,Pins & Bushes,Medium,750,84945000,Normal
P020,DEL001,2025-01-19,1283,116893,9,0-30 Days,104360,31,24,140,Pivot Pin PP-12,Pins & Bushes,Medium,750,78270000,Normal
P020,HYD001,2025-01-27,1195,114255,1,0-30 Days,102636,64,46,273,Pivot Pin PP-12,Pins & Bushes,Medium,750,76977000,Normal
P020,KOL001,2025-01-16,1306,112734,12,0-30 Days,99570,61,53,355,Pivot Pin PP-12,Pins & Bushes,Medium,750,74677500,Normal
P020,PUN001,2025-01-18,1219,114052,10,0-30 Days,102734,24,16,140,Pivot Pin PP-12,Pins & Bushes,Medium,750,77050500,Normal
P021,AHM001,2024-12-31,1312,121467,28,0-30 Days,108168,110,60,554,Boom Cylinder BC-400,Hydraulic,High,35600,3850780800,Normal
P021,CHN001,2025-01-20,1414,116624,8,0-30 Days,100867,71,40,319,Boom Cylinder BC-400,Hydraulic,High,35600,3590865200,Normal
P021,DEL001,2025-01-17,1258,126859,11,0-30 Days,115902,59,40,257,Boom Cylinder BC-400,Hydraulic,High,35600,4126111200,Normal
P021,HYD001,2025-01-15,1211,110661,13,0-30 Days,99466,56,36,263,Boom Cylinder BC-400,Hydraulic,High,35600,3540989600,Normal
P021,KOL001,2025-01-18,1345,115063,10,0-30 Days,100829,102,69,485,Boom Cylinder BC-400,Hydraulic,High,35600,3589512400,Normal
P021,PUN001,2025-01-17,1263,116990,11,0-30 Days,105385,59,32,287,Boom Cylinder BC-400,Hydraulic,High,35600,3751706000,Normal
P022,AHM001,2025-01-24,1320,116527,4,0-30 Days,103495,54,37,254,Control Valve CV-75,Hydraulic,High,12800,1324736000,Normal
P022,CHN001,2025-01-16,1482,124707,12,0-30 Days,109061,44,31,227,Control Valve CV-75,Hydraulic,High,12800,1395980800,Normal
P022,DEL001,2025-01-19,1234,121861,9,0-30 Days,110752,68,41,315,Control Valve CV-75,Hydraulic,High,12800,1417625600,Normal
P022,HYD001,2025-01-13,1168,123137,15,0-30 Days,112997,46,33,226,Control Valve CV-75,Hydraulic,High,12800,1446361600,Normal
P022,KOL001,2025-01-18,1346,113387,10,0-30 Days,99690,105,65,513,Control Valve CV-75,Hydraulic,High,12800,1276032000,Normal
P022,PUN001,2025-01-10,1296,122848,18,0-30 Days,111353,119,60,487,Control Valve CV-75,Hydraulic,High,12800,1425318400,Normal
P023,AHM001,2025-01-16,1313,126786,12,0-30 Days,114558,90,50,434,Idler Wheel IW-55,Undercarriage,High,9200,1053933600,Normal
P023,CHN001,2025-01-27,1499,123704,1,0-30 Days,107267,53,40,231,Idler Wheel IW-55,Undercarriage,High,9200,986856400,Normal
P023,DEL001,2025-01-20,1287,125580,8,0-30 Days,113718,73,49,313,Idler Wheel IW-55,Undercarriage,High,9200,1046205600,Normal
P023,HYD001,2025-01-15,1134,115481,13,0-30 Days,105798,31,16,134,Idler Wheel IW-55,Undercarriage,High,9200,973341600,Normal
P023,KOL001,2025-01-17,1386,125684,11,0-30 Days,111851,49,30,273,Idler Wheel IW-55,Undercarriage,High,9200,1029029200,Normal
P023,PUN001,2025-01-17,1254,119465,11,0-30 Days,108328,40,26,198,Idler Wheel IW-55,Undercarriage,High,9200,996617600,Normal
P024,AHM001,2025-01-24,1338,120342,4,0-30 Days,107810,104,58,425,Track Roller TR-60,Undercarriage,High,7400,797794000,Normal
P024,CHN001,2025-01-22,1430,122754,6,0-30 Days,107215,44,27,204,Track Roller TR-60,Undercarriage,High,7400,793391000,Normal
P024,DEL001,2025-01-20,1253,125956,8,0-30 Days,116412,99,56,469,Track Roller TR-60,Undercarriage,High,7400,861448800,Normal
P024,HYD001,2025-01-15,1158,111901,13,0-30 Days,101998,86,66,415,Track Roller TR-60,Undercarriage,High,7400,754785200,Normal
P024,KOL001,2025-01-28,1433,126497,0,0-30 Days,112198,58,38,242,Track Roller TR-60,Undercarriage,High,7400,830265200,Normal
P024,PUN001,2025-01-10,1260,121031,18,0-30 Days,110555,41,31,232,Track Roller TR-60,Undercarriage,High,7400,818107000,Normal
P025,AHM001,2025-01-19,1276,110469,9,0-30 Days,97512,64,44,328,Cabin Glass CG-20,Cabin,Medium,5600,546067200,Normal
P025,CHN001,2025-01-16,1496,126160,12,0-30 Days,110058,112,85,564,Cabin Glass CG-20,Cabin,Medium,5600,616324800,Normal
P025,DEL001,2025-01-23,1227,120532,5,0-30 Days,109936,54,49,310,Cabin Glass CG-20,Cabin,Medium,5600,615641600,Normal
P025,HYD001,2025-01-13,1271,125405,15,0-30 Days,113613,26,21,133,Cabin Glass CG-20,Cabin,Medium,5600,636232800,Normal
P025,KOL001,2025-01-15,1414,125205,13,0-30 Days,110579,113,84,499,Cabin Glass CG-20,Cabin,Medium,5600,619242400,Normal
P025,PUN001,2025-01-18,1255,121148,10,0-30 Days,110083,68,45,300,Cabin Glass CG-20,Cabin,Medium,5600,616464800,Normal
P026,AHM001,2025-01-18,1319,117342,10,0-30 Days,103793,89,65,445,Grease Cartridge GC-5,Lubricants,Low,180,18682740,Normal
P026,CHN001,2025-01-20,1478,124160,8,0-30 Days,108895,36,33,181,Grease Cartridge GC-5,Lubricants,Low,180,19601100,Normal
P026,DEL001,2025-01-15,1233,114956,13,0-30 Days,103678,28,22,186,Grease Cartridge GC-5,Lubricants,Low,180,18662040,Normal
P026,HYD001,2025-01-18,1264,119647,10,0-30 Days,108348,75,54,314,Grease Cartridge GC-5,Lubricants,Low,180,19502640,Normal
P026,KOL001,2025-01-18,1326,114554,10,0-30 Days,101412,74,59,445,Grease Cartridge GC-5,Lubricants,Low,180,18254160,Normal
P026,PUN001,2025-01-14,1230,116105,14,0-30 Days,105190,36,33,189,Grease Cartridge GC-5,Lubricants,Low,180,18934200,Normal
P027,AHM001,2025-01-18,1357,121470,10,0-30 Days,108337,51,33,294,O-Ring Set OR-50,Seals,Low,260,28167620,Normal
P027,CHN001,2025-01-22,1423,114057,6,0-30 Days,97973,33,19,133,O-Ring Set OR-50,Seals,Low,260,25472980,Normal
P027,DEL001,2025-01-16,1265,118249,12,0-30 Days,106775,31,26,193,O-Ring Set OR-50,Seals,Low,260,27761500,Normal
P027,HYD001,2025-01-15,1180,114377,13,0-30 Days,104746,46,29,211,O-Ring Set OR-50,Seals,Low,260,27233960,Normal
P027,KOL001,2025-01-18,1396,114699,10,0-30 Days,100477,79,54,385,O-Ring Set OR-50,Seals,Low,260,26124020,Normal
P027,PUN001,2025-01-17,1302,124589,11,0-30 Days,112683,70,58,376,O-Ring Set OR-50,Seals,Low,260,29297580,Normal
P028,AHM001,2025-01-06,1331,115118,22,0-30 Days,101538,78,57,368,Light Assembly LA-18,Electrical,Medium,1450,147230100,Normal
P028,CHN001,2025-01-12,1420,118676,16,0-30 Days,103464,43,29,198,Light Assembly LA-18,Electrical,Medium,1450,150022800,Normal
P028,DEL001,2025-01-23,1298,119202,5,0-30 Days,106744,81,58,353,Light Assembly LA-18,Electrical,Medium,1450,154778800,Normal
P028,HYD001,2025-01-13,1211,113581,15,0-30 Days,102248,47,37,199,Light Assembly LA-18,Electrical,Medium,1450,148259600,Normal
P028,KOL001,2025-01-18,1355,118601,10,0-30 Days,104851,76,75,437,Light Assembly LA-18,Electrical,Medium,1450,152033950,Normal
P028,PUN001,2025-01-09,1244,116628,19,0-30 Days,105401,100,56,522,Light Assembly LA-18,Electrical,Medium,1450,152831450,Normal
P029,AHM001,2025-01-27,1309,111246,1,0-30 Days,97606,49,40,267,Pressure Sensor PS-90,Sensors,Medium,2750,268416500,Normal
P029,CHN001,2025-01-19,1424,116983,9,0-30 Days,101572,33,27,173,Pressure Sensor PS-90,Sensors,Medium,2750,279323000,Normal
P029,DEL001,2025-01-17,1238,119426,11,0-30 Days,108622,33,27,174,Pressure Sensor PS-90,Sensors,Medium,2750,298710500,Normal
P029,HYD001,2025-01-12,1244,123861,16,0-30 Days,112739,76,55,324,Pressure Sensor PS-90,Sensors,Medium,2750,310032250,Normal
P029,KOL001,2025-01-09,1419,120943,19,0-30 Days,105010,57,40,299,Pressure Sensor PS-90,Sensors,Medium,2750,288777500,Normal
P029,PUN001,2025-01-18,1270,121150,10,0-30 Days,109429,40,28,225,Pressure Sensor PS-90,Sensors,Medium,2750,300929750,Normal
P030,AHM001,2025-01-16,1294,115736,12,0-30 Days,103248,46,40,231,Fuel Pump FP-350,Engine,High,16400,1693267200,Normal
P030,CHN001,2025-01-22,1445,121808,6,0-30 Days,105447,46,28,246,Fuel Pump FP-350,Engine,High,16400,1729330800,Normal
P030,DEL001,2025-01-17,1272,115739,11,0-30 Days,103131,64,53,336,Fuel Pump FP-350,Engine,High,16400,1691348400,Normal
P030,HYD001,2025-01-19,1180,115155,9,0-30 Days,104611,53,40,268,Fuel Pump FP-350,Engine,High,16400,1715620400,Normal
P030,KOL001,2025-01-17,1366,117668,11,0-30 Days,103465,73,43,365,Fuel Pump FP-350,Engine,High,16400,1696826000,Normal
P030,PUN001,2025-01-14,1286,124015,14,0-30 Days,112388,52,35,283,Fuel Pump FP-350,Engine,High,16400,1843163200,Normal
