product_id,branch_id,opening_stock,reorder_level,safety_stock,max_stock,current_stock,warehouse_bin,stock_surplus,stock_gap_to_reorder,stock_status,product_name,category,criticality_level,usage_frequency,unit_cost,inventory_value
P011,PUN001,86,31,20,138,108691,F06,108553,108660,Overstock,Hydraulic Cylinder HC-200,Hydraulic,High,Medium,21500,2336856500
P011,CHN001,155,50,32,233,110667,E15,110434,110617,Overstock,Hydraulic Cylinder HC-200,Hydraulic,High,Medium,21500,2379340500
P011,HYD001,148,46,41,244,107771,B01,107527,107725,Overstock,Hydraulic Cylinder HC-200,Hydraulic,High,Medium,21500,2317076500
P011,KOL001,300,113,68,582,109669,B08,109087,109556,Overstock,Hydraulic Cylinder HC-200,Hydraulic,High,Medium,21500,2357883500
P011,AHM001,211,66,50,410,101291,D13,100881,101225,Overstock,Hydraulic Cylinder HC-200,Hydraulic,High,Medium,21500,2177756500
P012,DEL001,257,98,67,489,119923,D13,119434,119825,Overstock,Brake Pad BP-40,Brakes,Medium,Medium,1800,215861400
P012,PUN001,177,68,52,308,112603,B05,112295,112535,Overstock,Brake Pad BP-40,Brakes,Medium,Medium,1800,202685400
P012,CHN001,155,54,32,274,107886,A16,107612,107832,Overstock,Brake Pad BP-40,Brakes,Medium,Medium,1800,194194800
P012,HYD001,128,42,28,241,106209,F04,105968,106167,Overstock,Brake Pad BP-40,Brakes,Medium,Medium,1800,191176200
P012,KOL001,188,67,51,368,109625,F17,109257,109558,Overstock,Brake Pad BP-40,Brakes,Medium,Medium,1800,197325000
P012,AHM001,103,32,24,156,106861,F11,106705,106829,Overstock,Brake Pad BP-40,Brakes,Medium,Medium,1800,192349800
P013,DEL001,126,48,27,249,108520,E18,108271,108472,Overstock,Seal Kit SK-15,Seals,Medium,High,950,103094000
P013,PUN001,80,25,16,133,104221,F04,104088,104196,Overstock,Seal Kit SK-15,Seals,Medium,High,950,99009950
P013,CHN001,156,56,45,307,106476,D08,106169,106420,Overstock,Seal Kit SK-15,Seals,Medium,High,950,101152200
P013,HYD001,233,86,52,412,111295,D06,110883,111209,Overstock,Seal Kit SK-15,Seals,Medium,High,950,105730250
P013,KOL001,129,44,26,233,105381,F03,105148,105337,Overstock,Seal Kit SK-15,Seals,Medium,High,950,100111950
P013,AHM001,84,25,22,150,98687,E04,98537,98662,Overstock,Seal Kit SK-15,Seals,Medium,High,950,93752650
P014,DEL001,203,72,44,384,111321,B15,110937,111249,Overstock,Transmission Assembly TA-800,Transmission,High,Low,68500,7625488500
P014,PUN001,87,33,20,164,113386,E17,113222,113353,Overstock,Transmission Assembly TA-800,Transmission,High,Low,68500,7766941000
P014,CHN001,157,60,40,303,114302,F14,113999,114242,Overstock,Transmission Assembly TA-800,Transmission,High,Low,68500,7829687000
P014,HYD001,200,71,50,377,111315,C17,110938,111244,Overstock,Transmission Assembly TA-800,Transmission,High,Low,68500,7625077500
P014,KOL001,268,106,60,519,105994,D06,105475,105888,Overstock,Transmission Assembly TA-800,Transmission,High,Low,68500,7260589000
P014,AHM001,108,32,27,171,105345,E07,105174,105313,Overstock,Transmission Assembly TA-800,Transmission,High,Low,68500,7216132500
P015,DEL001,223,75,60,387,100967,E12,100580,100892,Overstock,Engine Block EB-600,Engine,High,Low,95500,9642348500
P015,PUN001,134,43,34,210,106048,A13,105838,106005,Overstock,Engine Block EB-600,Engine,High,Low,95500,10127584000
P015,CHN001,239,91,57,370,113851,C20,113481,113760,Overstock,Engine Block EB-600,Engine,High,Low,95500,10872770500
P015,HYD001,149,56,43,226,110035,A16,109809,109979,Overstock,Engine Block EB-600,Engine,High,Low,95500,10508342500
P015,KOL001,292,116,81,508,96547,B18,96039,96431,Overstock,Engine Block EB-600,Engine,High,Low,95500,9220238500
P015,AHM001,85,28,24,131,105135,A13,105004,105107,Overstock,Engine Block EB-600,Engine,High,Low,95500,10040392500
P016,DEL001,242,84,66,434,104189,A02,103755,104105,Overstock,Radiator RD-250,Cooling,Medium,Medium,7800,812674200
P016,PUN001,217,74,47,371,103006,A07,102635,102932,Overstock,Radiator RD-250,Cooling,Medium,Medium,7800,803446800
P016,CHN001,180,71,45,309,112003,C19,111694,111932,Overstock,Radiator RD-250,Cooling,Medium,Medium,7800,873623400
P016,HYD001,103,35,24,177,106040,A01,105863,106005,Overstock,Radiator RD-250,Cooling,Medium,Medium,7800,827112000
P016,KOL001,148,49,32,277,97829,D04,97552,97780,Overstock,Radiator RD-250,Cooling,Medium,Medium,7800,763066200
P016,AHM001,95,33,25,164,110893,D04,110729,110860,Overstock,Radiator RD-250,Cooling,Medium,Medium,7800,864965400
P017,DEL001,243,93,72,479,112971,B15,112492,112878,Overstock,Fan Belt FB-30,Belts,Medium,High,320,36150720
P017,PUN001,206,63,56,331,104847,F06,104516,104784,Overstock,Fan Belt FB-30,Belts,Medium,High,320,33551040
P017,CHN001,178,59,45,300,106266,C15,105966,106207,Overstock,Fan Belt FB-30,Belts,Medium,High,320,34005120
P017,HYD001,88,26,23,172,117058,F05,116886,117032,Overstock,Fan Belt FB-30,Belts,Medium,High,320,37458560
P017,KOL001,208,72,56,344,108003,B06,107659,107931,Overstock,Fan Belt FB-30,Belts,Medium,High,320,34560960
P017,AHM001,276,99,82,542,109921,E01,109379,109822,Overstock,Fan Belt FB-30,Belts,Medium,High,320,35174720
P018,DEL001,282,106,74,508,114627,D12,114119,114521,Overstock,Wheel Rim WR-24,Undercarriage,High,Medium,8200,939941400
P018,PUN001,155,55,41,293,111530,A10,111237,111475,Overstock,Wheel Rim WR-24,Undercarriage,High,Medium,8200,914546000
P018,CHN001,283,98,74,564,113318,A15,112754,113220,Overstock,Wheel Rim WR-24,Undercarriage,High,Medium,8200,929207600
P018,HYD001,210,78,58,322,112953,E13,112631,112875,Overstock,Wheel Rim WR-24,Undercarriage,High,Medium,8200,926214600
P018,KOL001,161,59,42,284,96607,B03,96323,96548,Overstock,Wheel Rim WR-24,Undercarriage,High,Medium,8200,792177400
P018,AHM001,262,89,64,438,101420,F08,100982,101331,Overstock,Wheel Rim WR-24,Undercarriage,High,Medium,8200,831644000
P019,DEL001,125,37,27,208,118200,D07,117992,118163,Overstock,Swing Motor SWM-350,Hydraulic,High,Medium,31200,3687840000
P019,PUN001,116,36,27,207,109388,C04,109181,109352,Overstock,Swing Motor SWM-350,Hydraulic,High,Medium,31200,3412905600
P019,CHN001,287,86,66,566,100413,D20,99847,100327,Overstock,Swing Motor SWM-350,Hydraulic,High,Medium,31200,3132885600
P019,HYD001,209,81,49,350,100008,D17,99658,99927,Overstock,Swing Motor SWM-350,Hydraulic,High,Medium,31200,3120249600
P019,KOL001,92,30,22,141,88853,E11,88712,88823,Overstock,Swing Motor SWM-350,Hydraulic,High,Medium,31200,2772213600
P019,AHM001,217,85,46,378,105387,A03,105009,105302,Overstock,Swing Motor SWM-350,Hydraulic,High,Medium,31200,3288074400
P020,DEL001,91,31,24,140,104360,A07,104220,104329,Overstock,Pivot Pin PP-12,Pins & Bushes,Medium,High,750,78270000
P020,PUN001,80,24,16,140,102734,E12,102594,102710,Overstock,Pivot Pin PP-12,Pins & Bushes,Medium,High,750,77050500
P020,CHN001,300,105,84,454,113260,F01,112806,113155,Overstock,Pivot Pin PP-12,Pins & Bushes,Medium,High,750,84945000
P020,HYD001,161,64,46,273,102636,A15,102363,102572,Overstock,Pivot Pin PP-12,Pins & Bushes,Medium,High,750,76977000
P020,KOL001,182,61,53,355,99570,D07,99215,99509,Overstock,Pivot Pin PP-12,Pins & Bushes,Medium,High,750,74677500
P020,AHM001,142,54,28,270,102706,F16,102436,102652,Overstock,Pivot Pin PP-12,Pins & Bushes,Medium,High,750,77029500
P021,DEL001,152,59,40,257,115902,F08,115645,115843,Overstock,Boom Cylinder BC-400,Hydraulic,High,Medium,35600,4126111200
P021,PUN001,159,59,32,287,105385,C11,105098,105326,Overstock,Boom Cylinder BC-400,Hydraulic,High,Medium,35600,3751706000
P021,CHN001,189,71,40,319,100867,C11,100548,100796,Overstock,Boom Cylinder BC-400,Hydraulic,High,Medium,35600,3590865200
P021,HYD001,153,56,36,263,99466,F08,99203,99410,Overstock,Boom Cylinder BC-400,Hydraulic,High,Medium,35600,3540989600
P021,KOL001,280,102,69,485,100829,C14,100344,100727,Overstock,Boom Cylinder BC-400,Hydraulic,High,Medium,35600,3589512400
P021,AHM001,293,110,60,554,108168,E10,107614,108058,Overstock,Boom Cylinder BC-400,Hydraulic,High,Medium,35600,3850780800
P022,DEL001,187,68,41,315,110752,E20,110437,110684,Overstock,Control Valve CV-75,Hydraulic,High,Medium,12800,1417625600
P022,PUN001,299,119,60,487,111353,B16,110866,111234,Overstock,Control Valve CV-75,Hydraulic,High,Medium,12800,1425318400
P022,CHN001,138,44,31,227,109061,A02,108834,109017,Overstock,Control Valve CV-75,Hydraulic,High,Medium,12800,1395980800
P022,HYD001,140,46,33,226,112997,F19,112771,112951,Overstock,Control Valve CV-75,Hydraulic,High,Medium,12800,1446361600
P022,KOL001,265,105,65,513,99690,A01,99177,99585,Overstock,Control Valve CV-75,Hydraulic,High,Medium,12800,1276032000
P022,AHM001,156,54,37,254,103495,E03,103241,103441,Overstock,Control Valve CV-75,Hydraulic,High,Medium,12800,1324736000
P023,DEL001,186,73,49,313,113718,B18,113405,113645,Overstock,Idler Wheel IW-55,Undercarriage,High,Medium,9200,1046205600
P023,PUN001,115,40,26,198,108328,A10,108130,108288,Overstock,Idler Wheel IW-55,Undercarriage,High,Medium,9200,996617600
P023,CHN001,149,53,40,231,107267,B12,107036,107214,Overstock,Idler Wheel IW-55,Undercarriage,High,Medium,9200,986856400
P023,HYD001,82,31,16,134,105798,C14,105664,105767,Overstock,Idler Wheel IW-55,Undercarriage,High,Medium,9200,973341600
P023,KOL001,141,49,30,273,111851,D12,111578,111802,Overstock,Idler Wheel IW-55,Undercarriage,High,Medium,9200,1029029200
P023,AHM001,238,90,50,434,114558,B10,114124,114468,Overstock,Idler Wheel IW-55,Undercarriage,High,Medium,9200,1053933600
P024,DEL001,280,99,56,469,116412,A17,115943,116313,Overstock,Track Roller TR-60,Undercarriage,High,Medium,7400,861448800
P024,PUN001,128,41,31,232,110555,C02,110323,110514,Overstock,Track Roller TR-60,Undercarriage,High,Medium,7400,818107000
P024,CHN001,119,44,27,204,107215,D14,107011,107171,Overstock,Track Roller TR-60,Undercarriage,High,Medium,7400,793391000
P024,HYD001,273,86,66,415,101998,A14,101583,101912,Overstock,Track Roller TR-60,Undercarriage,High,Medium,7400,754785200
P024,KOL001,155,58,38,242,112198,B18,111956,112140,Overstock,Track Roller TR-60,Undercarriage,High,Medium,7400,830265200
P024,AHM001,268,104,58,425,107810,C07,107385,107706,Overstock,Track Roller TR-60,Undercarriage,High,Medium,7400,797794000
P025,DEL001,180,54,49,310,109936,F11,109626,109882,Overstock,Cabin Glass CG-20,Cabin,Medium,Low,5600,615641600
P025,PUN001,191,68,45,300,110083,A15,109783,110015,Overstock,Cabin Glass CG-20,Cabin,Medium,Low,5600,616464800
P025,CHN001,300,112,85,564,110058,B12,109494,109946,Overstock,Cabin Glass CG-20,Cabin,Medium,Low,5600,616324800
P025,HYD001,83,26,21,133,113613,B16,113480,113587,Overstock,Cabin Glass CG-20,Cabin,Medium,Low,5600,636232800
P025,KOL001,290,113,84,499,110579,C08,110080,110466,Overstock,Cabin Glass CG-20,Cabin,Medium,Low,5600,619242400
P025,AHM001,165,64,44,328,97512,F08,97184,97448,Overstock,Cabin Glass CG-20,Cabin,Medium,Low,5600,546067200
P026,DEL001,96,28,22,186,103678,C13,103492,103650,Overstock,Grease Cartridge GC-5,Lubricants,Low,High,180,18662040
P026,PUN001,112,36,33,189,105190,B09,105001,105154,Overstock,Grease Cartridge GC-5,Lubricants,Low,High,180,18934200
P026,CHN001,113,36,33,181,108895,A03,108714,108859,Overstock,Grease Cartridge GC-5,Lubricants,Low,High,180,19601100
P026,HYD001,203,75,54,314,108348,E17,108034,108273,Overstock,Grease Cartridge GC-5,Lubricants,Low,High,180,19502640
P026,KOL001,240,74,59,445,101412,A06,100967,101338,Overstock,Grease Cartridge GC-5,Lubricants,Low,High,180,18254160
P026,AHM001,263,89,65,445,103793,E03,103348,103704,Overstock,Grease Cartridge GC-5,Lubricants,Low,High,180,18682740
P027,DEL001,98,31,26,193,106775,C04,106582,106744,Overstock,O-Ring Set OR-50,Seals,Low,High,260,27761500
P027,PUN001,214,70,58,376,112683,C02,112307,112613,Overstock,O-Ring Set OR-50,Seals,Low,High,260,29297580
P027,CHN001,84,33,19,133,97973,F12,97840,97940,Overstock,O-Ring Set OR-50,Seals,Low,High,260,25472980
P027,HYD001,123,46,29,211,104746,B02,104535,104700,Overstock,O-Ring Set OR-50,Seals,Low,High,260,27233960
P027,KOL001,210,79,54,385,100477,F20,100092,100398,Overstock,O-Ring Set OR-50,Seals,Low,High,260,26124020
P027,AHM001,151,51,33,294,108337,F10,108043,108286,Overstock,O-Ring Set OR-50,Seals,Low,High,260,28167620
P028,DEL001,207,81,58,353,106744,C01,106391,106663,Overstock,Light Assembly LA-18,Electrical,Medium,Medium,1450,154778800
P028,PUN001,279,100,56,522,105401,B17,104879,105301,Overstock,Light Assembly LA-18,Electrical,Medium,Medium,1450,152831450
P028,CHN001,120,43,29,198,103464,E04,103266,103421,Overstock,Light Assembly LA-18,Electrical,Medium,Medium,1450,150022800
P028,HYD001,129,47,37,199,102248,E08,102049,102201,Overstock,Light Assembly LA-18,Electrical,Medium,Medium,1450,148259600
P028,KOL001,254,76,75,437,104851,B09,104414,104775,Overstock,Light Assembly LA-18,Electrical,Medium,Medium,1450,152033950
P028,AHM001,212,78,57,368,101538,F04,101170,101460,Overstock,Light Assembly LA-18,Electrical,Medium,Medium,1450,147230100
P029,DEL001,98,33,27,174,108622,E17,108448,108589,Overstock,Pressure Sensor PS-90,Sensors,Medium,Medium,2750,298710500
P029,PUN001,115,40,28,225,109429,C10,109204,109389,Overstock,Pressure Sensor PS-90,Sensors,Medium,Medium,2750,300929750
P029,CHN001,97,33,27,173,101572,F11,101399,101539,Overstock,Pressure Sensor PS-90,Sensors,Medium,Medium,2750,279323000
P029,HYD001,192,76,55,324,112739,F08,112415,112663,Overstock,Pressure Sensor PS-90,Sensors,Medium,Medium,2750,310032250
P029,KOL001,150,57,40,299,105010,F06,104711,104953,Overstock,Pressure Sensor PS-90,Sensors,Medium,Medium,2750,288777500
P029,AHM001,140,49,40,267,97606,D10,97339,97557,Overstock,Pressure Sensor PS-90,Sensors,Medium,Medium,2750,268416500
P030,DEL001,184,64,53,336,103131,E17,102795,103067,Overstock,Fuel Pump FP-350,Engine,High,Medium,16400,1691348400
P030,PUN001,147,52,35,283,112388,A05,112105,112336,Overstock,Fuel Pump FP-350,Engine,High,Medium,16400,1843163200
P030,CHN001,125,46,28,246,105447,F19,105201,105401,Overstock,Fuel Pump FP-350,Engine,High,Medium,16400,1729330800
P030,HYD001,162,53,40,268,104611,D14,104343,104558,Overstock,Fuel Pump FP-350,Engine,High,Medium,16400,1715620400
P030,KOL001,199,73,43,365,103465,C10,103100,103392,Overstock,Fuel Pump FP-350,Engine,High,Medium,16400,1696826000
P030,AHM001,134,46,40,231,103248,D06,103017,103202,Overstock,Fuel Pump FP-350,Engine,High,Medium,16400,1693267200
