product_id,branch_id,opening_stock,reorder_level_x,safety_stock_x,max_stock,current_stock,warehouse_bin,inventory_value,product_name,category,criticality_level,usage_frequency,reorder_level_y,safety_stock_y,max_stock_level,stock_health_status
P003,HYD001,272,95,72,422,106658,E12,87459560,Air Filter AF-120,Filters,Medium,High,60,30,150,Overstock
P003,KOL001,234,80,52,386,110093,D02,90276260,Air Filter AF-120,Filters,Medium,High,60,30,150,Overstock
P003,AHM001,238,82,48,475,102501,C06,84050820,Air Filter AF-120,Filters,Medium,High,60,30,150,Overstock
P004,DEL001,172,57,35,267,110145,A14,3579712500,Track Chain TC-45,Undercarriage,High,Low,8,4,20,Overstock
P004,PUN001,171,55,37,265,104859,E16,3407917500,Track Chain TC-45,Undercarriage,High,Low,8,4,20,Overstock
P004,CHN001,171,58,41,339,103984,A15,3379480000,Track Chain TC-45,Undercarriage,High,Low,8,4,20,Overstock
P004,HYD001,193,62,49,363,109943,D18,3573147500,Track Chain TC-45,Undercarriage,High,Low,8,4,20,Overstock
P004,KOL001,115,44,33,187,110042,B06,3576365000,Track Chain TC-45,Undercarriage,High,Low,8,4,20,Overstock
P004,AHM001,273,104,77,430,99909,C08,3247042500,Track Chain TC-45,Undercarriage,High,Low,8,4,20,Overstock
P005,DEL001,242,94,63,463,110862,E03,703973700,Fuel Injector FI-220,Engine,High,Medium,30,15,80,Overstock
P005,PUN001,262,89,76,436,108488,B10,688898800,Fuel Injector FI-220,Engine,High,Medium,30,15,80,Overstock
P005,CHN001,172,68,40,336,114267,E05,725595450,Fuel Injector FI-220,Engine,High,Medium,30,15,80,Overstock
P005,HYD001,178,62,51,341,112865,C13,716692750,Fuel Injector FI-220,Engine,High,Medium,30,15,80,Overstock
P005,KOL001,215,83,43,357,104202,B19,661682700,Fuel Injector FI-220,Engine,High,Medium,30,15,80,Overstock
P005,AHM001,106,37,29,175,108136,B06,686663600,Fuel Injector FI-220,Engine,High,Medium,30,15,80,Overstock
P006,DEL001,131,43,26,234,99358,B09,859446700,Alternator ALT-500,Electrical,High,Medium,12,6,30,Overstock
P006,PUN001,210,69,43,356,111016,F02,960288400,Alternator ALT-500,Electrical,High,Medium,12,6,30,Overstock
P006,CHN001,119,41,31,181,110681,D03,957390650,Alternator ALT-500,Electrical,High,Medium,12,6,30,Overstock
P006,HYD001,275,84,62,472,109564,F19,947728600,Alternator ALT-500,Electrical,High,Medium,12,6,30,Overstock
P006,KOL001,105,33,28,181,109176,B13,944372400,Alternator ALT-500,Electrical,High,Medium,12,6,30,Overstock
P006,AHM001,170,62,43,291,107359,A01,928655350,Alternator ALT-500,Electrical,High,Medium,12,6,30,Overstock
P007,DEL001,205,79,59,383,119439,C04,117050220,Hydraulic Hose HH-60,Hydraulic,Medium,High,70,35,200,Overstock
P007,PUN001,231,72,58,459,110464,C08,108254720,Hydraulic Hose HH-60,Hydraulic,Medium,High,70,35,200,Overstock
P007,CHN001,230,77,46,434,108692,E17,106518160,Hydraulic Hose HH-60,Hydraulic,Medium,High,70,35,200,Overstock
P007,HYD001,298,93,61,548,112543,C16,110292140,Hydraulic Hose HH-60,Hydraulic,Medium,High,70,35,200,Overstock
P007,KOL001,273,93,62,438,99463,C03,97473740,Hydraulic Hose HH-60,Hydraulic,Medium,High,70,35,200,Overstock
P007,AHM001,146,50,38,267,106222,C13,104097560,Hydraulic Hose HH-60,Hydraulic,Medium,High,70,35,200,Overstock
P008,DEL001,298,116,69,572,106667,C16,36266780,Bucket Tooth BT-10,Attachments,Low,High,120,60,300,Overstock
P008,PUN001,86,33,17,147,99151,D12,33711340,Bucket Tooth BT-10,Attachments,Low,High,120,60,300,Overstock
P008,CHN001,265,104,75,477,108381,A08,36849540,Bucket Tooth BT-10,Attachments,Low,High,120,60,300,Overstock
P008,HYD001,270,93,75,467,101753,A08,34596020,Bucket Tooth BT-10,Attachments,Low,High,120,60,300,Overstock
P008,KOL001,135,43,30,262,99461,D04,33816740,Bucket Tooth BT-10,Attachments,Low,High,120,60,300,Overstock
P008,AHM001,259,85,57,430,109281,D10,37155540,Bucket Tooth BT-10,Attachments,Low,High,120,60,300,Overstock
P009,DEL001,147,57,32,261,102816,D10,1177243200,Starter Motor SM-700,Electrical,High,Medium,10,5,25,Overstock
P009,PUN001,186,56,37,345,111320,F09,1274614000,Starter Motor SM-700,Electrical,High,Medium,10,5,25,Overstock
P009,CHN001,226,89,53,387,111456,D11,1276171200,Starter Motor SM-700,Electrical,High,Medium,10,5,25,Overstock
P009,HYD001,282,101,82,436,100071,D03,1145812950,Starter Motor SM-700,Electrical,High,Medium,10,5,25,Overstock
P009,KOL001,104,35,25,201,110547,E10,1265763150,Starter Motor SM-700,Electrical,High,Medium,10,5,25,Overstock
P009,AHM001,183,61,44,333,95731,B15,1096119950,Starter Motor SM-700,Electrical,High,Medium,10,5,25,Overstock
P010,DEL001,133,43,37,220,106895,D11,3089265500,Turbocharger TB-900,Engine,High,Medium,6,3,15,Overstock
P010,PUN001,159,48,45,267,114565,D20,3310928500,Turbocharger TB-900,Engine,High,Medium,6,3,15,Overstock
P010,CHN001,120,44,29,191,113425,B09,3277982500,Turbocharger TB-900,Engine,High,Medium,6,3,15,Overstock
P010,HYD001,171,62,46,307,110225,F12,3185502500,Turbocharger TB-900,Engine,High,Medium,6,3,15,Overstock
P010,KOL001,179,61,46,294,100989,A13,2918582100,Turbocharger TB-900,Engine,High,Medium,6,3,15,Overstock
P010,AHM001,128,43,27,245,115149,C09,3327806100,Turbocharger TB-900,Engine,High,Medium,6,3,15,Overstock
P011,DEL001,243,85,64,369,112300,B01,2414450000,Hydraulic Cylinder HC-200,Hydraulic,High,Medium,10,5,25,Overstock
P011,PUN001,86,31,20,138,108691,F06,2336856500,Hydraulic Cylinder HC-200,Hydraulic,High,Medium,10,5,25,Overstock
P011,CHN001,155,50,32,233,110667,E15,2379340500,Hydraulic Cylinder HC-200,Hydraulic,High,Medium,10,5,25,Overstock
P011,HYD001,148,46,41,244,107771,B01,2317076500,Hydraulic Cylinder HC-200,Hydraulic,High,Medium,10,5,25,Overstock
P011,KOL001,300,113,68,582,109669,B08,2357883500,Hydraulic Cylinder HC-200,Hydraulic,High,Medium,10,5,25,Overstock
P011,AHM001,211,66,50,410,101291,D13,2177756500,Hydraulic Cylinder HC-200,Hydraulic,High,Medium,10,5,25,Overstock
P012,DEL001,257,98,67,489,119923,D13,215861400,Brake Pad BP-40,Brakes,Medium,Medium,40,20,120,Overstock
P012,PUN001,177,68,52,308,112603,B05,202685400,Brake Pad BP-40,Brakes,Medium,Medium,40,20,120,Overstock
P012,CHN001,155,54,32,274,107886,A16,194194800,Brake Pad BP-40,Brakes,Medium,Medium,40,20,120,Overstock
P012,HYD001,128,42,28,241,106209,F04,191176200,Brake Pad BP-40,Brakes,Medium,Medium,40,20,120,Overstock
P012,KOL001,188,67,51,368,109625,F17,197325000,Brake Pad BP-40,Brakes,Medium,Medium,40,20,120,Overstock
P012,AHM001,103,32,24,156,106861,F11,192349800,Brake Pad BP-40,Brakes,Medium,Medium,40,20,120,Overstock
P013,DEL001,126,48,27,249,108520,E18,103094000,Seal Kit SK-15,Seals,Medium,High,80,40,200,Overstock
P013,PUN001,80,25,16,133,104221,F04,99009950,Seal Kit SK-15,Seals,Medium,High,80,40,200,Overstock
P013,CHN001,156,56,45,307,106476,D08,101152200,Seal Kit SK-15,Seals,Medium,High,80,40,200,Overstock
P013,HYD001,233,86,52,412,111295,D06,105730250,Seal Kit SK-15,Seals,Medium,High,80,40,200,Overstock
P013,KOL001,129,44,26,233,105381,F03,100111950,Seal Kit SK-15,Seals,Medium,High,80,40,200,Overstock
P013,AHM001,84,25,22,150,98687,E04,93752650,Seal Kit SK-15,Seals,Medium,High,80,40,200,Overstock
P014,DEL001,203,72,44,384,111321,B15,7625488500,Transmission Assembly TA-800,Transmission,High,Low,4,2,12,Overstock
P014,PUN001,87,33,20,164,113386,E17,7766941000,Transmission Assembly TA-800,Transmission,High,Low,4,2,12,Overstock
P014,CHN001,157,60,40,303,114302,F14,7829687000,Transmission Assembly TA-800,Transmission,High,Low,4,2,12,Overstock
P014,HYD001,200,71,50,377,111315,C17,7625077500,Transmission Assembly TA-800,Transmission,High,Low,4,2,12,Overstock
P014,KOL001,268,106,60,519,105994,D06,7260589000,Transmission Assembly TA-800,Transmission,High,Low,4,2,12,Overstock
P014,AHM001,108,32,27,171,105345,E07,7216132500,Transmission Assembly TA-800,Transmission,High,Low,4,2,12,Overstock
P015,DEL001,223,75,60,387,100967,E12,9642348500,Engine Block EB-600,Engine,High,Low,3,2,8,Overstock
P015,PUN001,134,43,34,210,106048,A13,10127584000,Engine Block EB-600,Engine,High,Low,3,2,8,Overstock
P015,CHN001,239,91,57,370,113851,C20,10872770500,Engine Block EB-600,Engine,High,Low,3,2,8,Overstock
P015,HYD001,149,56,43,226,110035,A16,10508342500,Engine Block EB-600,Engine,High,Low,3,2,8,Overstock
P015,KOL001,292,116,81,508,96547,B18,9220238500,Engine Block EB-600,Engine,High,Low,3,2,8,Overstock
P015,AHM001,85,28,24,131,105135,A13,10040392500,Engine Block EB-600,Engine,High,Low,3,2,8,Overstock
P016,DEL001,242,84,66,434,104189,A02,812674200,Radiator RD-250,Cooling,Medium,Medium,20,10,60,Overstock
P016,PUN001,217,74,47,371,103006,A07,803446800,Radiator RD-250,Cooling,Medium,Medium,20,10,60,Overstock
P016,CHN001,180,71,45,309,112003,C19,873623400,Radiator RD-250,Cooling,Medium,Medium,20,10,60,Overstock
P016,HYD001,103,35,24,177,106040,A01,827112000,Radiator RD-250,Cooling,Medium,Medium,20,10,60,Overstock
P016,KOL001,148,49,32,277,97829,D04,763066200,Radiator RD-250,Cooling,Medium,Medium,20,10,60,Overstock
P016,AHM001,95,33,25,164,110893,D04,864965400,Radiator RD-250,Cooling,Medium,Medium,20,10,60,Overstock
P017,DEL001,243,93,72,479,112971,B15,36150720,Fan Belt FB-30,Belts,Medium,High,50,25,150,Overstock
P017,PUN001,206,63,56,331,104847,F06,33551040,Fan Belt FB-30,Belts,Medium,High,50,25,150,Overstock
P017,CHN001,178,59,45,300,106266,C15,34005120,Fan Belt FB-30,Belts,Medium,High,50,25,150,Overstock
P017,HYD001,88,26,23,172,117058,F05,37458560,Fan Belt FB-30,Belts,Medium,High,50,25,150,Overstock
P017,KOL001,208,72,56,344,108003,B06,34560960,Fan Belt FB-30,Belts,Medium,High,50,25,150,Overstock
P017,AHM001,276,99,82,542,109921,E01,35174720,Fan Belt FB-30,Belts,Medium,High,50,25,150,Overstock
P018,DEL001,282,106,74,508,114627,D12,939941400,Wheel Rim WR-24,Undercarriage,High,Medium,12,6,30,Overstock
P018,PUN001,155,55,41,293,111530,A10,914546000,Wheel Rim WR-24,Undercarriage,High,Medium,12,6,30,Overstock
P018,CHN001,283,98,74,564,113318,A15,929207600,Wheel Rim WR-24,Undercarriage,High,Medium,12,6,30,Overstock
P018,HYD001,210,78,58,322,112953,E13,926214600,Wheel Rim WR-24,Undercarriage,High,Medium,12,6,30,Overstock
P018,KOL001,161,59,42,284,96607,B03,792177400,Wheel Rim WR-24,Undercarriage,High,Medium,12,6,30,Overstock
P018,AHM001,262,89,64,438,101420,F08,831644000,Wheel Rim WR-24,Undercarriage,High,Medium,12,6,30,Overstock
P019,DEL001,125,37,27,208,118200,D07,3687840000,Swing Motor SWM-350,Hydraulic,High,Medium,6,3,15,Overstock
P019,PUN001,116,36,27,207,109388,C04,3412905600,Swing Motor SWM-350,Hydraulic,High,Medium,6,3,15,Overstock
P019,CHN001,287,86,66,566,100413,D20,3132885600,Swing Motor SWM-350,Hydraulic,High,Medium,6,3,15,Overstock
P019,HYD001,209,81,49,350,100008,D17,3120249600,Swing Motor SWM-350,Hydraulic,High,Medium,6,3,15,Overstock
P019,KOL001,92,30,22,141,88853,E11,2772213600,Swing Motor SWM-350,Hydraulic,High,Medium,6,3,15,Overstock
P019,AHM001,217,85,46,378,105387,A03,3288074400,Swing Motor SWM-350,Hydraulic,High,Medium,6,3,15,Overstock
P020,DEL001,91,31,24,140,104360,A07,78270000,Pivot Pin PP-12,Pins & Bushes,Medium,High,90,45,250,Overstock
P020,PUN001,80,24,16,140,102734,E12,77050500,Pivot Pin PP-12,Pins & Bushes,Medium,High,90,45,250,Overstock
P020,CHN001,300,105,84,454,113260,F01,84945000,Pivot Pin PP-12,Pins & Bushes,Medium,High,90,45,250,Overstock
P020,HYD001,161,64,46,273,102636,A15,76977000,Pivot Pin PP-12,Pins & Bushes,Medium,High,90,45,250,Overstock
P020,KOL001,182,61,53,355,99570,D07,74677500,Pivot Pin PP-12,Pins & Bushes,Medium,High,90,45,250,Overstock
P020,AHM001,142,54,28,270,102706,F16,77029500,Pivot Pin PP-12,Pins & Bushes,Medium,High,90,45,250,Overstock
P021,DEL001,152,59,40,257,115902,F08,4126111200,Boom Cylinder BC-400,Hydraulic,High,Medium,5,3,20,Overstock
P021,PUN001,159,59,32,287,105385,C11,3751706000,Boom Cylinder BC-400,Hydraulic,High,Medium,5,3,20,Overstock
P021,CHN001,189,71,40,319,100867,C11,3590865200,Boom Cylinder BC-400,Hydraulic,High,Medium,5,3,20,Overstock
P021,HYD001,153,56,36,263,99466,F08,3540989600,Boom Cylinder BC-400,Hydraulic,High,Medium,5,3,20,Overstock
P021,KOL001,280,102,69,485,100829,C14,3589512400,Boom Cylinder BC-400,Hydraulic,High,Medium,5,3,20,Overstock
P021,AHM001,293,110,60,554,108168,E10,3850780800,Boom Cylinder BC-400,Hydraulic,High,Medium,5,3,20,Overstock
P022,DEL001,187,68,41,315,110752,E20,1417625600,Control Valve CV-75,Hydraulic,High,Medium,10,5,30,Overstock
P022,PUN001,299,119,60,487,111353,B16,1425318400,Control Valve CV-75,Hydraulic,High,Medium,10,5,30,Overstock
P022,CHN001,138,44,31,227,109061,A02,1395980800,Control Valve CV-75,Hydraulic,High,Medium,10,5,30,Overstock
P022,HYD001,140,46,33,226,112997,F19,1446361600,Control Valve CV-75,Hydraulic,High,Medium,10,5,30,Overstock
P022,KOL001,265,105,65,513,99690,A01,1276032000,Control Valve CV-75,Hydraulic,High,Medium,10,5,30,Overstock
P022,AHM001,156,54,37,254,103495,E03,1324736000,Control Valve CV-75,Hydraulic,High,Medium,10,5,30,Overstock
P023,DEL001,186,73,49,313,113718,B18,1046205600,Idler Wheel IW-55,Undercarriage,High,Medium,6,3,18,Overstock
P023,PUN001,115,40,26,198,108328,A10,996617600,Idler Wheel IW-55,Undercarriage,High,Medium,6,3,18,Overstock
P023,CHN001,149,53,40,231,107267,B12,986856400,Idler Wheel IW-55,Undercarriage,High,Medium,6,3,18,Overstock
P023,HYD001,82,31,16,134,105798,C14,973341600,Idler Wheel IW-55,Undercarriage,High,Medium,6,3,18,Overstock
P023,KOL001,141,49,30,273,111851,D12,1029029200,Idler Wheel IW-55,Undercarriage,High,Medium,6,3,18,Overstock
P023,AHM001,238,90,50,434,114558,B10,1053933600,Idler Wheel IW-55,Undercarriage,High,Medium,6,3,18,Overstock
P024,DEL001,280,99,56,469,116412,A17,861448800,Track Roller TR-60,Undercarriage,High,Medium,8,4,22,Overstock
P024,PUN001,128,41,31,232,110555,C02,818107000,Track Roller TR-60,Undercarriage,High,Medium,8,4,22,Overstock
P024,CHN001,119,44,27,204,107215,D14,793391000,Track Roller TR-60,Undercarriage,High,Medium,8,4,22,Overstock
P024,HYD001,273,86,66,415,101998,A14,754785200,Track Roller TR-60,Undercarriage,High,Medium,8,4,22,Overstock
P024,KOL001,155,58,38,242,112198,B18,830265200,Track Roller TR-60,Undercarriage,High,Medium,8,4,22,Overstock
P024,AHM001,268,104,58,425,107810,C07,797794000,Track Roller TR-60,Undercarriage,High,Medium,8,4,22,Overstock
P025,DEL001,180,54,49,310,109936,F11,615641600,Cabin Glass CG-20,Cabin,Medium,Low,12,6,40,Overstock
P025,PUN001,191,68,45,300,110083,A15,616464800,Cabin Glass CG-20,Cabin,Medium,Low,12,6,40,Overstock
P025,CHN001,300,112,85,564,110058,B12,616324800,Cabin Glass CG-20,Cabin,Medium,Low,12,6,40,Overstock
P025,HYD001,83,26,21,133,113613,B16,636232800,Cabin Glass CG-20,Cabin,Medium,Low,12,6,40,Overstock
P025,KOL001,290,113,84,499,110579,C08,619242400,Cabin Glass CG-20,Cabin,Medium,Low,12,6,40,Overstock
P025,AHM001,165,64,44,328,97512,F08,546067200,Cabin Glass CG-20,Cabin,Medium,Low,12,6,40,Overstock
P026,DEL001,96,28,22,186,103678,C13,18662040,Grease Cartridge GC-5,Lubricants,Low,High,200,100,500,Overstock
P026,PUN001,112,36,33,189,105190,B09,18934200,Grease Cartridge GC-5,Lubricants,Low,High,200,100,500,Overstock
P026,CHN001,113,36,33,181,108895,A03,19601100,Grease Cartridge GC-5,Lubricants,Low,High,200,100,500,Overstock
P026,HYD001,203,75,54,314,108348,E17,19502640,Grease Cartridge GC-5,Lubricants,Low,High,200,100,500,Overstock
P026,KOL001,240,74,59,445,101412,A06,18254160,Grease Cartridge GC-5,Lubricants,Low,High,200,100,500,Overstock
P026,AHM001,263,89,65,445,103793,E03,18682740,Grease Cartridge GC-5,Lubricants,Low,High,200,100,500,Overstock
P027,DEL001,98,31,26,193,106775,C04,27761500,O-Ring Set OR-50,Seals,Low,High,150,80,400,Overstock
P027,PUN001,214,70,58,376,112683,C02,29297580,O-Ring Set OR-50,Seals,Low,High,150,80,400,Overstock
P027,CHN001,84,33,19,133,97973,F12,25472980,O-Ring Set OR-50,Seals,Low,High,150,80,400,Overstock
P027,HYD001,123,46,29,211,104746,B02,27233960,O-Ring Set OR-50,Seals,Low,High,150,80,400,Overstock
P027,KOL001,210,79,54,385,100477,F20,26124020,O-Ring Set OR-50,Seals,Low,High,150,80,400,Overstock
P027,AHM001,151,51,33,294,108337,F10,28167620,O-Ring Set OR-50,Seals,Low,High,150,80,400,Overstock
P028,DEL001,207,81,58,353,106744,C01,154778800,Light Assembly LA-18,Electrical,Medium,Medium,40,20,100,Overstock
P028,PUN001,279,100,56,522,105401,B17,152831450,Light Assembly LA-18,Electrical,Medium,Medium,40,20,100,Overstock
P028,CHN001,120,43,29,198,103464,E04,150022800,Light Assembly LA-18,Electrical,Medium,Medium,40,20,100,Overstock
P028,HYD001,129,47,37,199,102248,E08,148259600,Light Assembly LA-18,Electrical,Medium,Medium,40,20,100,Overstock
P028,KOL001,254,76,75,437,104851,B09,152033950,Light Assembly LA-18,Electrical,Medium,Medium,40,20,100,Overstock
P028,AHM001,212,78,57,368,101538,F04,147230100,Light Assembly LA-18,Electrical,Medium,Medium,40,20,100,Overstock
P029,DEL001,98,33,27,174,108622,E17,298710500,Pressure Sensor PS-90,Sensors,Medium,Medium,25,12,60,Overstock
P029,PUN001,115,40,28,225,109429,C10,300929750,Pressure Sensor PS-90,Sensors,Medium,Medium,25,12,60,Overstock
P029,CHN001,97,33,27,173,101572,F11,279323000,Pressure Sensor PS-90,Sensors,Medium,Medium,25,12,60,Overstock
P029,HYD001,192,76,55,324,112739,F08,310032250,Pressure Sensor PS-90,Sensors,Medium,Medium,25,12,60,Overstock
P029,KOL001,150,57,40,299,105010,F06,288777500,Pressure Sensor PS-90,Sensors,Medium,Medium,25,12,60,Overstock
P029,AHM001,140,49,40,267,97606,D10,268416500,Pressure Sensor PS-90,Sensors,Medium,Medium,25,12,60,Overstock
P030,DEL001,184,64,53,336,103131,E17,1691348400,Fuel Pump FP-350,Engine,High,Medium,10,5,25,Overstock
P030,PUN001,147,52,35,283,112388,A05,1843163200,Fuel Pump FP-350,Engine,High,Medium,10,5,25,Overstock
P030,CHN001,125,46,28,246,105447,F19,1729330800,Fuel Pump FP-350,Engine,High,Medium,10,5,25,Overstock
P030,HYD001,162,53,40,268,104611,D14,1715620400,Fuel Pump FP-350,Engine,High,Medium,10,5,25,Overstock
P030,KOL001,199,73,43,365,103465,C10,1696826000,Fuel Pump FP-350,Engine,High,Medium,10,5,25,Overstock
P030,AHM001,134,46,40,231,103248,D06,1693267200,Fuel Pump FP-350,Engine,High,Medium,10,5,25,Overstock
