product_id,branch_id,opening_stock,reorder_level,safety_stock,max_stock,current_stock,warehouse_bin,product_name,category,machine_type,brand,weight_kg,dimensions_cm,criticality_level,usage_frequency,unit_cost,branch_name,warehouse_type,warehouse_capacity,market_demand_index,inventory_value,total_stock_weight_kg,length_cm,width_cm,height_cm,unit_footprint_sqft,occupied_footprint_sqft,stock_share_pct
P014,KOL001,268,106,60,519,105994,D06,Transmission Assembly TA-800,Transmission,Bulldozer,Volvo,260.0,190x60x55,High,Low,68500,Kolkata East Depot,Branch,29880 sqft,6,7260589000,27558440.0,190,60,55,12.270857875049083,1300637.3096079526,3.3931055235522063
P014,AHM001,108,32,27,171,105345,E07,Transmission Assembly TA-800,Transmission,Bulldozer,Volvo,260.0,190x60x55,High,Low,68500,Ahmedabad West Hub,Service Hub,34120 sqft,7,7216132500,27389700.0,190,60,55,12.270857875049083,1292673.5228470457,3.338994203471831
P004,DEL001,172,57,35,267,110145,A14,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,210.0,180x40x35,High,Low,32500,Delhi Central,Central,45230 sqft,9,3579712500,23130450.0,180,40,35,7.750015500031,853625.4572509145,3.349226282965454
P004,KOL001,115,44,33,187,110042,B06,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,210.0,180x40x35,High,Low,32500,Kolkata East Depot,Branch,29880 sqft,6,3576365000,23108820.0,180,40,35,7.750015500031,852827.2056544113,3.5226910770678708
P004,HYD001,193,62,49,363,109943,D18,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,210.0,180x40x35,High,Low,32500,Hyderabad Logistics,Branch,36210 sqft,7,3573147500,23088030.0,180,40,35,7.750015500031,852059.9541199083,3.3877701568210674
P004,PUN001,171,55,37,265,104859,E16,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,210.0,180x40x35,High,Low,32500,Pune Distribution,Regional,38750 sqft,8,3407917500,22020390.0,180,40,35,7.750015500031,812658.8753177506,3.2202251476615986
P004,CHN001,171,58,41,339,103984,A15,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,210.0,180x40x35,High,Low,32500,Chennai South Hub,Regional,41890 sqft,8,3379480000,21836640.0,180,40,35,7.750015500031,805877.6117552235,3.21509347622088
P004,AHM001,273,104,77,430,99909,C08,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,210.0,180x40x35,High,Low,32500,Ahmedabad West Hub,Service Hub,34120 sqft,7,3247042500,20980890.0,180,40,35,7.750015500031,774296.2985925971,3.166695826803998
P021,DEL001,152,59,40,257,115902,F08,Boom Cylinder BC-400,Hydraulic,Excavator,Komatsu,48.0,130x18x18,High,Medium,35600,Delhi Central,Central,45230 sqft,9,4126111200,5563296.0,130,18,18,2.518755037510075,291928.74635749275,3.524281852542213
P021,AHM001,293,110,60,554,108168,E10,Boom Cylinder BC-400,Hydraulic,Excavator,Komatsu,48.0,130x18x18,High,Medium,35600,Ahmedabad West Hub,Service Hub,34120 sqft,7,3850780800,5192064.0,130,18,18,2.518755037510075,272448.6948973898,3.42847145095772
P021,PUN001,159,59,32,287,105385,C11,Boom Cylinder BC-400,Hydraulic,Excavator,Komatsu,48.0,130x18x18,High,Medium,35600,Pune Distribution,Regional,38750 sqft,8,3751706000,5058480.0,130,18,18,2.518755037510075,265438.99962799926,3.236378634035396
P021,CHN001,189,71,40,319,100867,C11,Boom Cylinder BC-400,Hydraulic,Excavator,Komatsu,48.0,130x18x18,High,Medium,35600,Chennai South Hub,Regional,41890 sqft,8,3590865200,4841616.0,130,18,18,2.518755037510075,254059.26436852873,3.1187185881094353
P021,KOL001,280,102,69,485,100829,C14,Boom Cylinder BC-400,Hydraulic,Excavator,Komatsu,48.0,130x18x18,High,Medium,35600,Kolkata East Depot,Branch,29880 sqft,6,3589512400,4839792.0,130,18,18,2.518755037510075,253963.55167710336,3.2277622963021058
P021,HYD001,153,56,36,263,99466,F08,Boom Cylinder BC-400,Hydraulic,Excavator,Komatsu,48.0,130x18x18,High,Medium,35600,Hyderabad Logistics,Branch,36210 sqft,7,3540989600,4774368.0,130,18,18,2.518755037510075,250530.48856097713,3.06493316007717
P011,DEL001,243,85,64,369,112300,B01,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,42.0,120x18x18,High,Medium,21500,Delhi Central,Central,45230 sqft,9,2414450000,4716600.0,120,18,18,2.3250046500093,261098.0221960444,3.4147542927688095
P011,CHN001,155,50,32,233,110667,E15,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,42.0,120x18x18,High,Medium,21500,Chennai South Hub,Regional,41890 sqft,8,2379340500,4648014.0,120,18,18,2.3250046500093,257301.2896025792,3.421725936037622
P011,KOL001,300,113,68,582,109669,B08,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,42.0,120x18x18,High,Medium,21500,Kolkata East Depot,Branch,29880 sqft,6,2357883500,4606098.0,120,18,18,2.3250046500093,254980.93496186993,3.5107505109954045
P011,PUN001,86,31,20,138,108691,F06,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,42.0,120x18x18,High,Medium,21500,Pune Distribution,Regional,38750 sqft,8,2336856500,4565022.0,120,18,18,2.3250046500093,252707.08041416082,3.337906059799224
P011,HYD001,148,46,41,244,107771,B01,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,42.0,120x18x18,High,Medium,21500,Hyderabad Logistics,Branch,36210 sqft,7,2317076500,4526382.0,120,18,18,2.3250046500093,250568.07613615226,3.3208424144398765
P001,DEL001,196,59,46,340,115928,C15,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,38.5,40x25x25,High,Medium,18950,Delhi Central,Central,45230 sqft,9,2196835600,4463228.0,40,25,25,1.0763910416709723,124783.86067883248,3.525072445699933
P019,DEL001,125,37,27,208,118200,D07,Swing Motor SWM-350,Hydraulic,Excavator,Volvo,36.0,55x25x25,High,Medium,31200,Delhi Central,Central,45230 sqft,9,3687840000,4255200.0,55,25,25,1.480037682297587,174940.45404757478,3.5941581247130294
P011,AHM001,211,66,50,410,101291,D13,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,42.0,120x18x18,High,Medium,21500,Ahmedabad West Hub,Service Hub,34120 sqft,7,2177756500,4254222.0,120,18,18,2.3250046500093,235502.046004092,3.210499424404246
P001,PUN001,198,70,43,349,109389,D16,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,38.5,40x25x25,High,Medium,18950,Pune Distribution,Regional,38750 sqft,8,2072921550,4211476.5,40,25,25,1.0763910416709723,117745.33965734599,3.3593416747971525
P001,HYD001,226,71,65,417,108772,A10,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,38.5,40x25x25,High,Medium,18950,Hyderabad Logistics,Branch,36210 sqft,7,2061229400,4187722.0,40,25,25,1.0763910416709723,117081.206384635,3.351687106025315
P001,AHM001,236,77,53,455,106714,C20,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,38.5,40x25x25,High,Medium,18950,Ahmedabad West Hub,Service Hub,34120 sqft,7,2022230300,4108489.0,40,25,25,1.0763910416709723,114865.99362087614,3.3823857556532633
P001,KOL001,263,94,58,475,103808,F03,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,38.5,40x25x25,High,Medium,18950,Kolkata East Depot,Branch,29880 sqft,6,1967161600,3996608.0,40,25,25,1.0763910416709723,111738.0012537803,3.3231267636744293
P019,PUN001,116,36,27,207,109388,C04,Swing Motor SWM-350,Hydraulic,Excavator,Volvo,36.0,55x25x25,High,Medium,31200,Pune Distribution,Regional,38750 sqft,8,3412905600,3937968.0,55,25,25,1.480037682297587,161898.36199116844,3.3593109647470123
P001,CHN001,187,62,44,311,99373,A11,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,38.5,40x25x25,High,Medium,18950,Chennai South Hub,Regional,41890 sqft,8,1883118350,3825860.5,40,25,25,1.0763910416709723,106964.20698396953,3.072525427108954
P019,AHM001,217,85,46,378,105387,A03,Swing Motor SWM-350,Hydraulic,Excavator,Volvo,36.0,55x25x25,High,Medium,31200,Ahmedabad West Hub,Service Hub,34120 sqft,7,3288074400,3793932.0,55,25,25,1.480037682297587,155976.7312242958,3.3403254271326204
P019,CHN001,287,86,66,566,100413,D20,Swing Motor SWM-350,Hydraulic,Excavator,Volvo,36.0,55x25x25,High,Medium,31200,Chennai South Hub,Regional,41890 sqft,8,3132885600,3614868.0,55,25,25,1.480037682297587,148615.02379254758,3.1046813089299046
P019,HYD001,209,81,49,350,100008,D17,Swing Motor SWM-350,Hydraulic,Excavator,Volvo,36.0,55x25x25,High,Medium,31200,Hyderabad Logistics,Branch,36210 sqft,7,3120249600,3600288.0,55,25,25,1.480037682297587,148015.60853121706,3.0816342817947606
P019,KOL001,92,30,22,141,88853,E11,Swing Motor SWM-350,Hydraulic,Excavator,Volvo,36.0,55x25x25,High,Medium,31200,Kolkata East Depot,Branch,29880 sqft,6,2772213600,3198708.0,55,25,25,1.480037682297587,131505.7881851875,2.8443836923239445
P018,DEL001,282,106,74,508,114627,D12,Wheel Rim WR-24,Undercarriage,Bulldozer,CAT,24.0,70x25x25,High,Medium,8200,Delhi Central,Central,45230 sqft,9,939941400,2751048.0,70,25,25,1.8836843229242015,215921.08288383245,3.485512380384775
P018,CHN001,283,98,74,564,113318,A15,Wheel Rim WR-24,Undercarriage,Bulldozer,CAT,24.0,70x25x25,High,Medium,8200,Chennai South Hub,Regional,41890 sqft,8,929207600,2719632.0,70,25,25,1.8836843229242015,213455.34010512466,3.5036925155639107
P018,HYD001,210,78,58,322,112953,E13,Wheel Rim WR-24,Undercarriage,Bulldozer,CAT,24.0,70x25x25,High,Medium,8200,Hyderabad Logistics,Branch,36210 sqft,7,926214600,2710872.0,70,25,25,1.8836843229242015,212767.79532725734,3.480519928721338
P018,PUN001,155,55,41,293,111530,A10,Wheel Rim WR-24,Undercarriage,Bulldozer,CAT,24.0,70x25x25,High,Medium,8200,Pune Distribution,Regional,38750 sqft,8,914546000,2676720.0,70,25,25,1.8836843229242015,210087.3125357362,3.4250918921475324
P018,AHM001,262,89,64,438,101420,F08,Wheel Rim WR-24,Undercarriage,Bulldozer,CAT,24.0,70x25x25,High,Medium,8200,Ahmedabad West Hub,Service Hub,34120 sqft,7,831644000,2434080.0,70,25,25,1.8836843229242015,191043.26403097252,3.214588182790955
P023,AHM001,238,90,50,434,114558,B10,Idler Wheel IW-55,Undercarriage,Bulldozer,Volvo,21.0,60x25x25,High,Medium,9200,Ahmedabad West Hub,Service Hub,34120 sqft,7,1053933600,2405718.0,60,25,25,1.6145865625064584,184963.80742761487,3.631007622206332
P023,DEL001,186,73,49,313,113718,B18,Idler Wheel IW-55,Undercarriage,Bulldozer,Volvo,21.0,60x25x25,High,Medium,9200,Delhi Central,Central,45230 sqft,9,1046205600,2388078.0,60,25,25,1.6145865625064584,183607.55471510944,3.4578720272937082
P023,KOL001,141,49,30,273,111851,D12,Idler Wheel IW-55,Undercarriage,Bulldozer,Volvo,21.0,60x25x25,High,Medium,9200,Kolkata East Depot,Branch,29880 sqft,6,1029029200,2348871.0,60,25,25,1.6145865625064584,180593.12160290987,3.580601221907257
P018,KOL001,161,59,42,284,96607,B03,Wheel Rim WR-24,Undercarriage,Bulldozer,CAT,24.0,70x25x25,High,Medium,8200,Kolkata East Depot,Branch,29880 sqft,6,792177400,2318568.0,70,25,25,1.8836843229242015,181977.09138473833,3.092606612768723
P023,PUN001,115,40,26,198,108328,A10,Idler Wheel IW-55,Undercarriage,Bulldozer,Volvo,21.0,60x25x25,High,Medium,9200,Pune Distribution,Regional,38750 sqft,8,996617600,2274888.0,60,25,25,1.6145865625064584,174904.93314319963,3.3267583115982955
P024,DEL001,280,99,56,469,116412,A17,Track Roller TR-60,Undercarriage,Bulldozer,Tata Hitachi,19.5,55x22x22,High,Medium,7400,Delhi Central,Central,45230 sqft,9,861448800,2270034.0,55,22,22,1.3024331604218764,151618.84907103147,3.539789641405188
P023,CHN001,149,53,40,231,107267,B12,Idler Wheel IW-55,Undercarriage,Bulldozer,Volvo,21.0,60x25x25,High,Medium,9200,Chennai South Hub,Regional,41890 sqft,8,986856400,2252607.0,60,25,25,1.6145865625064584,173191.85680038028,3.316600937776823
P023,HYD001,82,31,16,134,105798,C14,Idler Wheel IW-55,Undercarriage,Bulldozer,Volvo,21.0,60x25x25,High,Medium,9200,Hyderabad Logistics,Branch,36210 sqft,7,973341600,2221758.0,60,25,25,1.6145865625064584,170820.0291400583,3.260046633722523
P024,KOL001,155,58,38,242,112198,B18,Track Roller TR-60,Undercarriage,Bulldozer,Tata Hitachi,19.5,55x22x22,High,Medium,7400,Kolkata East Depot,Branch,29880 sqft,6,830265200,2187861.0,55,22,22,1.3024331604218764,146130.3957330137,3.5917094697012137
P024,PUN001,128,41,31,232,110555,C02,Track Roller TR-60,Undercarriage,Bulldozer,Tata Hitachi,19.5,55x22x22,High,Medium,7400,Pune Distribution,Regional,38750 sqft,8,818107000,2155822.5,55,22,22,1.3024331604218764,143990.49805044054,3.3951495932607405
P024,AHM001,268,104,58,425,107810,C07,Track Roller TR-60,Undercarriage,Bulldozer,Tata Hitachi,19.5,55x22x22,High,Medium,7400,Ahmedabad West Hub,Service Hub,34120 sqft,7,797794000,2102295.0,55,22,22,1.3024331604218764,140415.31902508248,3.4171243540395664
P024,CHN001,119,44,27,204,107215,D14,Track Roller TR-60,Undercarriage,Bulldozer,Tata Hitachi,19.5,55x22x22,High,Medium,7400,Chennai South Hub,Regional,41890 sqft,8,793391000,2090692.5,55,22,22,1.3024331604218764,139640.37129463148,3.314993143685775
P016,CHN001,180,71,45,309,112003,C19,Radiator RD-250,Cooling,Loader,JCB,18.0,90x40x20,Medium,Medium,7800,Chennai South Hub,Regional,41890 sqft,8,873623400,2016054.0,90,40,20,3.8750077500155,434012.49302498606,3.4630338765306896
P016,AHM001,95,33,25,164,110893,D04,Radiator RD-250,Cooling,Loader,JCB,18.0,90x40x20,Medium,Medium,7800,Ahmedabad West Hub,Service Hub,34120 sqft,7,864965400,1996074.0,90,40,20,3.8750077500155,429711.2344224689,3.5148425099017686
P024,HYD001,273,86,66,415,101998,A14,Track Roller TR-60,Undercarriage,Bulldozer,Tata Hitachi,19.5,55x22x22,High,Medium,7400,Hyderabad Logistics,Branch,36210 sqft,7,754785200,1988961.0,55,22,22,1.3024331604218764,132845.57749671055,3.142953898433145
P016,HYD001,103,35,24,177,106040,A01,Radiator RD-250,Cooling,Loader,JCB,18.0,90x40x20,Medium,Medium,7800,Hyderabad Logistics,Branch,36210 sqft,7,827112000,1908720.0,90,40,20,3.8750077500155,410905.8218116436,3.267503592127794
P010,AHM001,128,43,27,245,115149,C09,Turbocharger TB-900,Engine,Excavator,CAT,16.5,40x25x25,High,Medium,28900,Ahmedabad West Hub,Service Hub,34120 sqft,7,3327806100,1899958.5,40,25,25,1.0763910416709723,123945.3520573708,3.64973984086172
P010,PUN001,159,48,45,267,114565,D20,Turbocharger TB-900,Engine,Excavator,CAT,16.5,40x25x25,High,Medium,28900,Pune Distribution,Regional,38750 sqft,8,3310928500,1890322.5,40,25,25,1.0763910416709723,123316.73968903495,3.5182968943233397
P016,DEL001,242,84,66,434,104189,A02,Radiator RD-250,Cooling,Loader,JCB,18.0,90x40x20,Medium,Medium,7800,Delhi Central,Central,45230 sqft,9,812674200,1875402.0,90,40,20,3.8750077500155,403733.18246636493,3.1681196349892207
P010,CHN001,120,44,29,191,113425,B09,Turbocharger TB-900,Engine,Excavator,CAT,16.5,40x25x25,High,Medium,28900,Chennai South Hub,Regional,41890 sqft,8,3277982500,1871512.5,40,25,25,1.0763910416709723,122089.65390153004,3.5070008610974126
P016,PUN001,217,74,47,371,103006,A07,Radiator RD-250,Cooling,Loader,JCB,18.0,90x40x20,Medium,Medium,7800,Pune Distribution,Regional,38750 sqft,8,803446800,1854108.0,90,40,20,3.8750077500155,399149.0482980966,3.1633194247516245
P010,HYD001,171,62,46,307,110225,F12,Turbocharger TB-900,Engine,Excavator,CAT,16.5,40x25x25,High,Medium,28900,Hyderabad Logistics,Branch,36210 sqft,7,3185502500,1818712.5,40,25,25,1.0763910416709723,118645.20256818293,3.396459670334648
P010,DEL001,133,43,37,220,106895,D11,Turbocharger TB-900,Engine,Excavator,CAT,16.5,40x25x25,High,Medium,28900,Delhi Central,Central,45230 sqft,9,3089265500,1763767.5,40,25,25,1.0763910416709723,115060.82039941859,3.2504021382504176
P016,KOL001,148,49,32,277,97829,D04,Radiator RD-250,Cooling,Loader,JCB,18.0,90x40x20,Medium,Medium,7800,Kolkata East Depot,Branch,29880 sqft,6,763066200,1760922.0,90,40,20,3.8750077500155,379088.13317626633,3.131725571858679
P010,KOL001,179,61,46,294,100989,A13,Turbocharger TB-900,Engine,Excavator,CAT,16.5,40x25x25,High,Medium,28900,Kolkata East Depot,Branch,29880 sqft,6,2918582100,1666318.5,40,25,25,1.0763910416709723,108703.65490730983,3.232884254939089
P009,CHN001,226,89,53,387,111456,D11,Starter Motor SM-700,Electrical,Dumper,Volvo,11.0,32x18x18,High,Medium,11450,Chennai South Hub,Regional,41890 sqft,8,1276171200,1226016.0,32,18,18,0.62000124000248,69102.85820571642,3.4461211194575547
P009,PUN001,186,56,37,345,111320,F09,Starter Motor SM-700,Electrical,Dumper,Volvo,11.0,32x18x18,High,Medium,11450,Pune Distribution,Regional,38750 sqft,8,1274614000,1224520.0,32,18,18,0.62000124000248,69018.53803707608,3.41864278161807
P009,KOL001,104,35,25,201,110547,E10,Starter Motor SM-700,Electrical,Dumper,Volvo,11.0,32x18x18,High,Medium,11450,Kolkata East Depot,Branch,29880 sqft,6,1265763150,1216017.0,32,18,18,0.62000124000248,68539.27707855417,3.5388572590158476
P009,DEL001,147,57,32,261,102816,D10,Starter Motor SM-700,Electrical,Dumper,Volvo,11.0,32x18x18,High,Medium,11450,Delhi Central,Central,45230 sqft,9,1177243200,1130976.0,32,18,18,0.62000124000248,63746.047492094986,3.1263702347757603
P009,HYD001,282,101,82,436,100071,D03,Starter Motor SM-700,Electrical,Dumper,Volvo,11.0,32x18x18,High,Medium,11450,Hyderabad Logistics,Branch,36210 sqft,7,1145812950,1100781.0,32,18,18,0.62000124000248,62044.14408828818,3.0835755560903477
P006,PUN001,210,69,43,356,111016,F02,Alternator ALT-500,Electrical,Loader,CAT,9.5,30x20x20,High,Medium,8650,Pune Distribution,Regional,38750 sqft,8,960288400,1054652.0,30,20,20,0.6458346250025834,71697.97672928679,3.409306926375419
P009,AHM001,183,61,44,333,95731,B15,Starter Motor SM-700,Electrical,Dumper,Volvo,11.0,32x18x18,High,Medium,11450,Ahmedabad West Hub,Service Hub,34120 sqft,7,1096119950,1053041.0,32,18,18,0.62000124000248,59353.338706677416,3.03427076835694
P006,CHN001,119,41,31,181,110681,D03,Alternator ALT-500,Electrical,Loader,CAT,9.5,30x20x20,High,Medium,8650,Chennai South Hub,Regional,41890 sqft,8,957390650,1051469.5,30,20,20,0.6458346250025834,71481.62212991093,3.4221588036775197
P006,HYD001,275,84,62,472,109564,F19,Alternator ALT-500,Electrical,Loader,CAT,9.5,30x20x20,High,Medium,8650,Hyderabad Logistics,Branch,36210 sqft,7,947728600,1040858.0,30,20,20,0.6458346250025834,70760.22485378305,3.3760916971698376
P006,KOL001,105,33,28,181,109176,B13,Alternator ALT-500,Electrical,Loader,CAT,9.5,30x20x20,High,Medium,8650,Kolkata East Depot,Branch,29880 sqft,6,944372400,1037172.0,30,20,20,0.6458346250025834,70509.64101928205,3.4949684759452015
P006,AHM001,170,62,43,291,107359,A01,Alternator ALT-500,Electrical,Loader,CAT,9.5,30x20x20,High,Medium,8650,Ahmedabad West Hub,Service Hub,34120 sqft,7,928655350,1019910.5,30,20,20,0.6458346250025834,69336.15950565235,3.402829547586809
P006,DEL001,131,43,26,234,99358,B09,Alternator ALT-500,Electrical,Loader,CAT,9.5,30x20x20,High,Medium,8650,Delhi Central,Central,45230 sqft,9,859446700,943901.0,30,20,20,0.6458346250025834,64168.83667100668,3.021221344798961
P025,HYD001,83,26,21,133,113613,B16,Cabin Glass CG-20,Cabin,Excavator,JCB,8.0,120x5x2,Medium,Low,5600,Hyderabad Logistics,Branch,36210 sqft,7,636232800,908904.0,120,5,2,0.6458346250025834,73375.2092504185,3.5008570880084404
P025,KOL001,290,113,84,499,110579,C08,Cabin Glass CG-20,Cabin,Excavator,JCB,8.0,120x5x2,Medium,Low,5600,Kolkata East Depot,Branch,29880 sqft,6,619242400,884632.0,120,5,2,0.6458346250025834,71415.74699816067,3.5398816507432445
P022,HYD001,140,46,33,226,112997,F19,Control Valve CV-75,Hydraulic,Excavator,CAT,7.8,35x25x20,High,Medium,12800,Hyderabad Logistics,Branch,36210 sqft,7,1446361600,881376.6,35,25,20,0.9418421614621008,106425.338718733,3.481875739340478
P025,PUN001,191,68,45,300,110083,A15,Cabin Glass CG-20,Cabin,Excavator,JCB,8.0,120x5x2,Medium,Low,5600,Pune Distribution,Regional,38750 sqft,8,616464800,880664.0,120,5,2,0.6458346250025834,71095.41302415938,3.3806544495945197
P025,CHN001,300,112,85,564,110058,B12,Cabin Glass CG-20,Cabin,Excavator,JCB,8.0,120x5x2,Medium,Low,5600,Chennai South Hub,Regional,41890 sqft,8,616324800,880464.0,120,5,2,0.6458346250025834,71079.26715853432,3.402896193702085
P025,DEL001,180,54,49,310,109936,F11,Cabin Glass CG-20,Cabin,Excavator,JCB,8.0,120x5x2,Medium,Low,5600,Delhi Central,Central,45230 sqft,9,615641600,879488.0,120,5,2,0.6458346250025834,71000.47533428401,3.3428711302745486
P022,PUN001,299,119,60,487,111353,B16,Control Valve CV-75,Hydraulic,Excavator,CAT,7.8,35x25x20,High,Medium,12800,Pune Distribution,Regional,38750 sqft,8,1425318400,868553.4,35,25,20,0.9418421614621008,104876.95020528931,3.4196562132726998
P022,DEL001,187,68,41,315,110752,E20,Control Valve CV-75,Hydraulic,Excavator,CAT,7.8,35x25x20,High,Medium,12800,Delhi Central,Central,45230 sqft,9,1417625600,863865.6,35,25,20,0.9418421614621008,104310.90306625058,3.367683592455309
P022,CHN001,138,44,31,227,109061,A02,Control Valve CV-75,Hydraulic,Excavator,CAT,7.8,35x25x20,High,Medium,12800,Chennai South Hub,Regional,41890 sqft,8,1395980800,850675.7999999999,35,25,20,0.9418421614621008,102718.24797121817,3.372069833917962
P022,AHM001,156,54,37,254,103495,E03,Control Valve CV-75,Hydraulic,Excavator,CAT,7.8,35x25x20,High,Medium,12800,Ahmedabad West Hub,Service Hub,34120 sqft,7,1324736000,807261.0,35,25,20,0.9418421614621008,97475.95450052012,3.280356970794221
P025,AHM001,165,64,44,328,97512,F08,Cabin Glass CG-20,Cabin,Excavator,JCB,8.0,120x5x2,Medium,Low,5600,Ahmedabad West Hub,Service Hub,34120 sqft,7,546067200,780096.0,120,5,2,0.6458346250025834,62976.62595325191,3.0907209907346833
P022,KOL001,265,105,65,513,99690,A01,Control Valve CV-75,Hydraulic,Excavator,CAT,7.8,35x25x20,High,Medium,12800,Kolkata East Depot,Branch,29880 sqft,6,1276032000,777582.0,35,25,20,0.9418421614621008,93892.24507615682,3.1913003532550848
P030,PUN001,147,52,35,283,112388,A05,Fuel Pump FP-350,Engine,Excavator,Volvo,6.8,30x18x18,High,Medium,16400,Pune Distribution,Regional,38750 sqft,8,1843163200,764238.4,30,18,18,0.581251162502325,65325.6556513113,3.451441115167909
P030,CHN001,125,46,28,246,105447,F19,Fuel Pump FP-350,Engine,Excavator,Volvo,6.8,30x18x18,High,Medium,16400,Chennai South Hub,Regional,41890 sqft,8,1729330800,717039.6,30,18,18,0.581251162502325,61291.19133238267,3.2603281445901593
P030,HYD001,162,53,40,268,104611,D14,Fuel Pump FP-350,Engine,Excavator,Volvo,6.8,30x18x18,High,Medium,16400,Hyderabad Logistics,Branch,36210 sqft,7,1715620400,711354.7999999999,30,18,18,0.581251162502325,60805.26536053072,3.2234705608834466
P030,KOL001,199,73,43,365,103465,C10,Fuel Pump FP-350,Engine,Excavator,Volvo,6.8,30x18x18,High,Medium,16400,Kolkata East Depot,Branch,29880 sqft,6,1696826000,703562.0,30,18,18,0.581251162502325,60139.15152830305,3.3121465648463975
P030,AHM001,134,46,40,231,103248,D06,Fuel Pump FP-350,Engine,Excavator,Volvo,6.8,30x18x18,High,Medium,16400,Ahmedabad West Hub,Service Hub,34120 sqft,7,1693267200,702086.4,30,18,18,0.581251162502325,60013.02002604005,3.272528107836724
P030,DEL001,184,64,53,336,103131,E17,Fuel Pump FP-350,Engine,Excavator,Volvo,6.8,30x18x18,High,Medium,16400,Delhi Central,Central,45230 sqft,9,1691348400,701290.7999999999,30,18,18,0.581251162502325,59945.01364002728,3.135948574955833
